Productos;CAcopios;Tiempo;CapAlmacenamientoCA
Queso duro;COSTAÑERA;Enero;50000
Queso duro;COSTAÑERA;Febrero;50000
Queso duro;COSTAÑERA;Marzo;50000
Queso duro;COSTAÑERA;Abril;50000
Queso duro;COSTAÑERA;Mayo;50000
Queso duro;COSTAÑERA;Junio;50000
Queso duro;COSTAÑERA;Julio;50000
Queso duro;COSTAÑERA;Agosto;50000
Queso duro;COSTAÑERA;Septiembre;50000
Queso duro;COSTAÑERA;Octubre;50000
Queso duro;COSTAÑERA;Noviembre;50000
Queso duro;COSTAÑERA;Diciembre;50000
Queso duro;SABANAS;Enero;50000
Queso duro;SABANAS;Febrero;50000
Queso duro;SABANAS;Marzo;50000
Queso duro;SABANAS;Abril;50000
Queso duro;SABANAS;Mayo;50000
Queso duro;SABANAS;Junio;50000
Queso duro;SABANAS;Julio;50000
Queso duro;SABANAS;Agosto;50000
Queso duro;SABANAS;Septiembre;50000
Queso duro;SABANAS;Octubre;50000
Queso duro;SABANAS;Noviembre;50000
Queso duro;SABANAS;Diciembre;50000
Queso duro;SAN JORGE;Enero;50000
Queso duro;SAN JORGE;Febrero;50000
Queso duro;SAN JORGE;Marzo;50000
Queso duro;SAN JORGE;Abril;50000
Queso duro;SAN JORGE;Mayo;50000
Queso duro;SAN JORGE;Junio;50000
Queso duro;SAN JORGE;Julio;50000
Queso duro;SAN JORGE;Agosto;50000
Queso duro;SAN JORGE;Septiembre;50000
Queso duro;SAN JORGE;Octubre;50000
Queso duro;SAN JORGE;Noviembre;50000
Queso duro;SAN JORGE;Diciembre;50000
Queso blando;COSTAÑERA;Enero;50000
Queso blando;COSTAÑERA;Febrero;50000
Queso blando;COSTAÑERA;Marzo;50000
Queso blando;COSTAÑERA;Abril;50000
Queso blando;COSTAÑERA;Mayo;50000
Queso blando;COSTAÑERA;Junio;50000
Queso blando;COSTAÑERA;Julio;50000
Queso blando;COSTAÑERA;Agosto;50000
Queso blando;COSTAÑERA;Septiembre;50000
Queso blando;COSTAÑERA;Octubre;50000
Queso blando;COSTAÑERA;Noviembre;50000
Queso blando;COSTAÑERA;Diciembre;50000
Queso blando;SABANAS;Enero;50000
Queso blando;SABANAS;Febrero;50000
Queso blando;SABANAS;Marzo;50000
Queso blando;SABANAS;Abril;50000
Queso blando;SABANAS;Mayo;50000
Queso blando;SABANAS;Junio;50000
Queso blando;SABANAS;Julio;50000
Queso blando;SABANAS;Agosto;50000
Queso blando;SABANAS;Septiembre;50000
Queso blando;SABANAS;Octubre;50000
Queso blando;SABANAS;Noviembre;50000
Queso blando;SABANAS;Diciembre;50000
Queso blando;SAN JORGE;Enero;50000
Queso blando;SAN JORGE;Febrero;50000
Queso blando;SAN JORGE;Marzo;50000
Queso blando;SAN JORGE;Abril;50000
Queso blando;SAN JORGE;Mayo;50000
Queso blando;SAN JORGE;Junio;50000
Queso blando;SAN JORGE;Julio;50000
Queso blando;SAN JORGE;Agosto;50000
Queso blando;SAN JORGE;Septiembre;50000
Queso blando;SAN JORGE;Octubre;50000
Queso blando;SAN JORGE;Noviembre;50000
Queso blando;SAN JORGE;Diciembre;50000
