CAcopios;Tiempo;CostoFijoAcopio
COSTAÑERA;1;4300000
COSTAÑERA;2;4300000
COSTAÑERA;3;4300000
COSTAÑERA;4;4300000
COSTAÑERA;5;4300000
COSTAÑERA;6;4300000
COSTAÑERA;7;4300000
COSTAÑERA;8;4300000
COSTAÑERA;9;4300000
COSTAÑERA;10;4300000
COSTAÑERA;11;4300000
COSTAÑERA;12;4300000
SABANAS;1;4450000
SABANAS;2;4450000
SABANAS;3;4450000
SABANAS;4;4450000
SABANAS;5;4450000
SABANAS;6;4450000
SABANAS;7;4450000
SABANAS;8;4450000
SABANAS;9;4450000
SABANAS;10;4450000
SABANAS;11;4450000
SABANAS;12;4450000
SAN JORGE;1;4330000
SAN JORGE;2;4330000
SAN JORGE;3;4330000
SAN JORGE;4;4330000
SAN JORGE;5;4330000
SAN JORGE;6;4330000
SAN JORGE;7;4330000
SAN JORGE;8;4330000
SAN JORGE;9;4330000
SAN JORGE;10;4330000
SAN JORGE;11;4330000
SAN JORGE;12;4330000
