P;J;T;CostoInvAcopio
1;1;1;450
1;1;2;450
1;1;3;450
1;1;4;450
1;1;5;450
1;1;6;450
1;1;7;450
1;1;8;450
1;1;9;450
1;1;10;450
1;1;11;450
1;1;12;450
1;2;1;500
1;2;2;500
1;2;3;500
1;2;4;500
1;2;5;500
1;2;6;500
1;2;7;500
1;2;8;500
1;2;9;500
1;2;10;500
1;2;11;500
1;2;12;500
1;3;1;550
1;3;2;550
1;3;3;550
1;3;4;550
1;3;5;550
1;3;6;550
1;3;7;550
1;3;8;550
1;3;9;550
1;3;10;550
1;3;11;550
1;3;12;550
2;1;1;450
2;1;2;450
2;1;3;450
2;1;4;450
2;1;5;450
2;1;6;450
2;1;7;450
2;1;8;450
2;1;9;450
2;1;10;450
2;1;11;450
2;1;12;450
2;2;1;500
2;2;2;500
2;2;3;500
2;2;4;500
2;2;5;500
2;2;6;500
2;2;7;500
2;2;8;500
2;2;9;500
2;2;10;500
2;2;11;500
2;2;12;500
2;3;1;550
2;3;2;550
2;3;3;550
2;3;4;550
2;3;5;550
2;3;6;550
2;3;7;550
2;3;8;550
2;3;9;550
2;3;10;550
2;3;11;550
2;3;12;550
