P;I;T;CostoProduccion
1;1;1;18248
1;1;2;18278
1;1;3;18527
1;1;4;18701
1;1;5;18575
1;1;6;18575
1;1;7;18461
1;1;8;18659
1;1;9;18938
1;1;10;19209
1;1;11;19456
1;1;12;19942
1;2;1;18248
1;2;2;18278
1;2;3;18527
1;2;4;18701
1;2;5;18575
1;2;6;18575
1;2;7;18461
1;2;8;18659
1;2;9;18938
1;2;10;19209
1;2;11;19456
1;2;12;19942
1;3;1;18248
1;3;2;18278
1;3;3;18527
1;3;4;18701
1;3;5;18575
1;3;6;18575
1;3;7;18461
1;3;8;18659
1;3;9;18938
1;3;10;19209
1;3;11;19456
1;3;12;19942
1;4;1;18248
1;4;2;18278
1;4;3;18527
1;4;4;18701
1;4;5;18575
1;4;6;18575
1;4;7;18461
1;4;8;18659
1;4;9;18938
1;4;10;19209
1;4;11;19456
1;4;12;19942
1;5;1;18248
1;5;2;18278
1;5;3;18527
1;5;4;18701
1;5;5;18575
1;5;6;18575
1;5;7;18461
1;5;8;18659
1;5;9;18938
1;5;10;19209
1;5;11;19456
1;5;12;19942
1;6;1;18248
1;6;2;18278
1;6;3;18527
1;6;4;18701
1;6;5;18575
1;6;6;18575
1;6;7;18461
1;6;8;18659
1;6;9;18938
1;6;10;19209
1;6;11;19456
1;6;12;19942
1;7;1;18248
1;7;2;18278
1;7;3;18527
1;7;4;18701
1;7;5;18575
1;7;6;18575
1;7;7;18461
1;7;8;18659
1;7;9;18938
1;7;10;19209
1;7;11;19456
1;7;12;19942
1;8;1;18248
1;8;2;18278
1;8;3;18527
1;8;4;18701
1;8;5;18575
1;8;6;18575
1;8;7;18461
1;8;8;18659
1;8;9;18938
1;8;10;19209
1;8;11;19456
1;8;12;19942
1;9;1;18248
1;9;2;18278
1;9;3;18527
1;9;4;18701
1;9;5;18575
1;9;6;18575
1;9;7;18461
1;9;8;18659
1;9;9;18938
1;9;10;19209
1;9;11;19456
1;9;12;19942
1;10;1;18344
1;10;2;18403
1;10;3;18632
1;10;4;18679
1;10;5;18767
1;10;6;18722
1;10;7;18747
1;10;8;18733
1;10;9;18929
1;10;10;19281
