P;J;K;T;CostoTransAcopioClie
1;1;1;1;500
1;1;1;2;500
1;1;1;3;500
1;1;1;4;500
1;1;1;5;500
1;1;1;6;500
1;1;1;7;500
1;1;1;8;500
1;1;1;9;500
1;1;1;10;500
1;1;1;11;500
1;1;1;12;500
1;2;1;1;369
1;2;1;2;369
1;2;1;3;369
1;2;1;4;369
1;2;1;5;369
1;2;1;6;369
1;2;1;7;369
1;2;1;8;369
1;2;1;9;369
1;2;1;10;369
1;2;1;11;369
1;2;1;12;369
1;3;1;1;260
1;3;1;2;260
1;3;1;3;260
1;3;1;4;260
1;3;1;5;260
1;3;1;6;260
1;3;1;7;260
1;3;1;8;260
1;3;1;9;260
1;3;1;10;260
1;3;1;11;260
1;3;1;12;260
2;1;1;1;500
2;1;1;2;500
2;1;1;3;500
2;1;1;4;500
2;1;1;5;500
2;1;1;6;500
2;1;1;7;500
2;1;1;8;500
2;1;1;9;500
2;1;1;10;500
2;1;1;11;500
2;1;1;12;500
2;2;1;1;369
2;2;1;2;369
2;2;1;3;369
2;2;1;4;369
2;2;1;5;369
2;2;1;6;369
2;2;1;7;369
2;2;1;8;369
2;2;1;9;369
2;2;1;10;369
2;2;1;11;369
2;2;1;12;369
2;3;1;1;260
2;3;1;2;260
2;3;1;3;260
2;3;1;4;260
2;3;1;5;260
2;3;1;6;260
2;3;1;7;260
2;3;1;8;260
2;3;1;9;260
2;3;1;10;260
2;3;1;11;260
2;3;1;12;260
