P;J;T;CostoVarAcopio
1;1;1;770
1;1;2;770
1;1;3;770
1;1;4;770
1;1;5;770
1;1;6;770
1;1;7;770
1;1;8;770
1;1;9;770
1;1;10;770
1;1;11;770
1;1;12;770
1;2;1;810
1;2;2;810
1;2;3;810
1;2;4;810
1;2;5;810
1;2;6;810
1;2;7;810
1;2;8;810
1;2;9;810
1;2;10;810
1;2;11;810
1;2;12;810
1;3;1;785
1;3;2;785
1;3;3;785
1;3;4;785
1;3;5;785
1;3;6;785
1;3;7;785
1;3;8;785
1;3;9;785
1;3;10;785
1;3;11;785
1;3;12;785
2;1;1;770
2;1;2;770
2;1;3;770
2;1;4;770
2;1;5;770
2;1;6;770
2;1;7;770
2;1;8;770
2;1;9;770
2;1;10;770
2;1;11;770
2;1;12;770
2;2;1;810
2;2;2;810
2;2;3;810
2;2;4;810
2;2;5;810
2;2;6;810
2;2;7;810
2;2;8;810
2;2;9;810
2;2;10;810
2;2;11;810
2;2;12;810
2;3;1;785
2;3;2;785
2;3;3;785
2;3;4;785
2;3;5;785
2;3;6;785
2;3;7;785
2;3;8;785
2;3;9;785
2;3;10;785
2;3;11;785
2;3;12;785
