Productos;Tiempo;PDinsatisfecha
Queso duro;1;1000000
Queso duro;2;1000000
Queso duro;3;1000000
Queso duro;4;1000000
Queso duro;5;1000000
Queso duro;6;1000000
Queso duro;7;1000000
Queso duro;8;1000000
Queso duro;9;1000000
Queso duro;10;1000000
Queso duro;11;1000000
Queso duro;12;1000000
Queso blando;1;1000000
Queso blando;2;1000000
Queso blando;3;1000000
Queso blando;4;1000000
Queso blando;5;1000000
Queso blando;6;1000000
Queso blando;7;1000000
Queso blando;8;1000000
Queso blando;9;1000000
Queso blando;10;1000000
Queso blando;11;1000000
Queso blando;12;1000000
