Productos,CAcopios,Clientes,Tiempo,AC
Queso duro,COSTAÑERA,Cliente 1,1,0.0
Queso duro,COSTAÑERA,Cliente 1,2,0.0
Queso duro,COSTAÑERA,Cliente 1,3,0.0
Queso duro,COSTAÑERA,Cliente 1,4,0.0
Queso duro,COSTAÑERA,Cliente 1,5,0.0
Queso duro,COSTAÑERA,Cliente 1,6,0.0
Queso duro,COSTAÑERA,Cliente 1,7,0.0
Queso duro,COSTAÑERA,Cliente 1,8,0.0
Queso duro,COSTAÑERA,Cliente 1,9,0.0
Queso duro,COSTAÑERA,Cliente 1,10,0.0
Queso duro,COSTAÑERA,Cliente 1,11,0.0
Queso duro,COSTAÑERA,Cliente 1,12,0.0
Queso duro,SABANAS,Cliente 1,1,0.0
Queso duro,SABANAS,Cliente 1,2,0.0
Queso duro,SABANAS,Cliente 1,3,0.0
Queso duro,SABANAS,Cliente 1,4,0.0
Queso duro,SABANAS,Cliente 1,5,0.0
Queso duro,SABANAS,Cliente 1,6,0.0
Queso duro,SABANAS,Cliente 1,7,0.0
Queso duro,SABANAS,Cliente 1,8,0.0
Queso duro,SABANAS,Cliente 1,9,0.0
Queso duro,SABANAS,Cliente 1,10,0.0
Queso duro,SABANAS,Cliente 1,11,0.0
Queso duro,SABANAS,Cliente 1,12,0.0
Queso duro,SAN JORGE,Cliente 1,1,43680.0
Queso duro,SAN JORGE,Cliente 1,2,34200.0
Queso duro,SAN JORGE,Cliente 1,3,0.0
Queso duro,SAN JORGE,Cliente 1,4,0.0
Queso duro,SAN JORGE,Cliente 1,5,0.0
Queso duro,SAN JORGE,Cliente 1,6,0.0
Queso duro,SAN JORGE,Cliente 1,7,0.0
Queso duro,SAN JORGE,Cliente 1,8,0.0
Queso duro,SAN JORGE,Cliente 1,9,0.0
Queso duro,SAN JORGE,Cliente 1,10,0.0
Queso duro,SAN JORGE,Cliente 1,11,0.0
Queso duro,SAN JORGE,Cliente 1,12,0.0
Queso blando,COSTAÑERA,Cliente 1,1,0.0
Queso blando,COSTAÑERA,Cliente 1,2,0.0
Queso blando,COSTAÑERA,Cliente 1,3,0.0
Queso blando,COSTAÑERA,Cliente 1,4,0.0
Queso blando,COSTAÑERA,Cliente 1,5,0.0
Queso blando,COSTAÑERA,Cliente 1,6,0.0
Queso blando,COSTAÑERA,Cliente 1,7,0.0
Queso blando,COSTAÑERA,Cliente 1,8,0.0
Queso blando,COSTAÑERA,Cliente 1,9,0.0
Queso blando,COSTAÑERA,Cliente 1,10,0.0
Queso blando,COSTAÑERA,Cliente 1,11,0.0
Queso blando,COSTAÑERA,Cliente 1,12,0.0
Queso blando,SABANAS,Cliente 1,1,0.0
Queso blando,SABANAS,Cliente 1,2,0.0
Queso blando,SABANAS,Cliente 1,3,0.0
Queso blando,SABANAS,Cliente 1,4,0.0
Queso blando,SABANAS,Cliente 1,5,0.0
Queso blando,SABANAS,Cliente 1,6,0.0
Queso blando,SABANAS,Cliente 1,7,0.0
Queso blando,SABANAS,Cliente 1,8,0.0
Queso blando,SABANAS,Cliente 1,9,0.0
Queso blando,SABANAS,Cliente 1,10,0.0
Queso blando,SABANAS,Cliente 1,11,0.0
Queso blando,SABANAS,Cliente 1,12,0.0
Queso blando,SAN JORGE,Cliente 1,1,32600.0
Queso blando,SAN JORGE,Cliente 1,2,5275.0
Queso blando,SAN JORGE,Cliente 1,3,0.0
Queso blando,SAN JORGE,Cliente 1,4,0.0
Queso blando,SAN JORGE,Cliente 1,5,0.0
Queso blando,SAN JORGE,Cliente 1,6,0.0
Queso blando,SAN JORGE,Cliente 1,7,0.0
Queso blando,SAN JORGE,Cliente 1,8,0.0
Queso blando,SAN JORGE,Cliente 1,9,0.0
Queso blando,SAN JORGE,Cliente 1,10,0.0
Queso blando,SAN JORGE,Cliente 1,11,0.0
Queso blando,SAN JORGE,Cliente 1,12,0.0
