Productos,CAcopios,Tiempo,InvCA
Queso duro,COSTAÑERA,1,0.0
Queso duro,COSTAÑERA,2,0.0
Queso duro,COSTAÑERA,3,0.0
Queso duro,COSTAÑERA,4,0.0
Queso duro,COSTAÑERA,5,0.0
Queso duro,COSTAÑERA,6,0.0
Queso duro,COSTAÑERA,7,0.0
Queso duro,COSTAÑERA,8,0.0
Queso duro,COSTAÑERA,9,0.0
Queso duro,COSTAÑERA,10,0.0
Queso duro,COSTAÑERA,11,0.0
Queso duro,COSTAÑERA,12,-0.0
Queso duro,SABANAS,1,0.0
Queso duro,SABANAS,2,0.0
Queso duro,SABANAS,3,0.0
Queso duro,SABANAS,4,0.0
Queso duro,SABANAS,5,0.0
Queso duro,SABANAS,6,0.0
Queso duro,SABANAS,7,0.0
Queso duro,SABANAS,8,0.0
Queso duro,SABANAS,9,0.0
Queso duro,SABANAS,10,0.0
Queso duro,SABANAS,11,0.0
Queso duro,SABANAS,12,-0.0
Queso duro,SAN JORGE,1,0.0
Queso duro,SAN JORGE,2,0.0
Queso duro,SAN JORGE,3,0.0
Queso duro,SAN JORGE,4,0.0
Queso duro,SAN JORGE,5,0.0
Queso duro,SAN JORGE,6,0.0
Queso duro,SAN JORGE,7,0.0
Queso duro,SAN JORGE,8,0.0
Queso duro,SAN JORGE,9,0.0
Queso duro,SAN JORGE,10,0.0
Queso duro,SAN JORGE,11,0.0
Queso duro,SAN JORGE,12,-0.0
Queso blando,COSTAÑERA,1,0.0
Queso blando,COSTAÑERA,2,0.0
Queso blando,COSTAÑERA,3,0.0
Queso blando,COSTAÑERA,4,0.0
Queso blando,COSTAÑERA,5,0.0
Queso blando,COSTAÑERA,6,0.0
Queso blando,COSTAÑERA,7,0.0
Queso blando,COSTAÑERA,8,0.0
Queso blando,COSTAÑERA,9,0.0
Queso blando,COSTAÑERA,10,0.0
Queso blando,COSTAÑERA,11,0.0
Queso blando,COSTAÑERA,12,-0.0
Queso blando,SABANAS,1,0.0
Queso blando,SABANAS,2,0.0
Queso blando,SABANAS,3,0.0
Queso blando,SABANAS,4,0.0
Queso blando,SABANAS,5,0.0
Queso blando,SABANAS,6,0.0
Queso blando,SABANAS,7,0.0
Queso blando,SABANAS,8,0.0
Queso blando,SABANAS,9,0.0
Queso blando,SABANAS,10,0.0
Queso blando,SABANAS,11,0.0
Queso blando,SABANAS,12,-0.0
Queso blando,SAN JORGE,1,0.0
Queso blando,SAN JORGE,2,0.0
Queso blando,SAN JORGE,3,0.0
Queso blando,SAN JORGE,4,0.0
Queso blando,SAN JORGE,5,0.0
Queso blando,SAN JORGE,6,0.0
Queso blando,SAN JORGE,7,0.0
Queso blando,SAN JORGE,8,0.0
Queso blando,SAN JORGE,9,0.0
Queso blando,SAN JORGE,10,0.0
Queso blando,SAN JORGE,11,0.0
Queso blando,SAN JORGE,12,-0.0
