Distribution,Parameters,KS_pvalue
norm,"(0.7726968884468078, 0.16756851981019272)",0.07566183854168151
expon,"(0.3917627334594726, 0.38093415498733524)",3.3218405198180174e-10
lognorm,"(0.04166871871330566, -3.2427423269928752, 4.011953221603733)",0.09794080194660859
weibull_min,"(3.177885592467742, 0.2712306877750973, 0.5576561712883126)",0.05764519978281346
gamma,"(242.32150254601754, -1.834309668044133, 0.010758599946143615)",0.09736693319804779
erlang,"(241.5398787878134, -1.8297860170707887, 0.010774801981350793)",0.09724063901607782
triang,"(0.3849653634761204, 0.3379237414117259, 1.0289130300048264)",4.929605110129417e-05
logistic,"(0.7752327336826714, 0.08827999271590718)",0.15681938583284194
halfnorm,"(0.3917627209761095, 0.41620722246606146)",1.8070100793546342e-09
cauchy,"(0.7930115389744641, 0.08400379464955585)",0.013504095806435412
