CAcopios;Tiempo;CostoFijoAcopio
Monteria;1;4799000
Monteria;2;4799000
Monteria;3;4799000
Monteria;4;4799000
Monteria;5;4799000
Monteria;6;4799000
Monteria;7;4799000
Monteria;8;4799000
Monteria;9;4799000
Monteria;10;4799000
Monteria;11;4799000
Monteria;12;4799000
Chinu;1;4870000
Chinu;2;4870000
Chinu;3;4870000
Chinu;4;4870000
Chinu;5;4870000
Chinu;6;4870000
Chinu;7;4870000
Chinu;8;4870000
Chinu;9;4870000
Chinu;10;4870000
Chinu;11;4870000
Chinu;12;4870000
Planeta rica;1;4750000
Planeta rica;2;4750000
Planeta rica;3;4750000
Planeta rica;4;4750000
Planeta rica;5;4750000
Planeta rica;6;4750000
Planeta rica;7;4750000
Planeta rica;8;4750000
Planeta rica;9;4750000
Planeta rica;10;4750000
Planeta rica;11;4750000
Planeta rica;12;4750000
