Productos;CAcopios;Tiempo;CostoInvAcopio
Queso duro;Monteria;1;550
Queso duro;Monteria;2;550
Queso duro;Monteria;3;550
Queso duro;Monteria;4;550
Queso duro;Monteria;5;550
Queso duro;Monteria;6;550
Queso duro;Monteria;7;550
Queso duro;Monteria;8;550
Queso duro;Monteria;9;550
Queso duro;Monteria;10;550
Queso duro;Monteria;11;550
Queso duro;Monteria;12;550
Queso duro;Chinu;1;550
Queso duro;Chinu;2;550
Queso duro;Chinu;3;550
Queso duro;Chinu;4;550
Queso duro;Chinu;5;550
Queso duro;Chinu;6;550
Queso duro;Chinu;7;550
Queso duro;Chinu;8;550
Queso duro;Chinu;9;550
Queso duro;Chinu;10;550
Queso duro;Chinu;11;550
Queso duro;Chinu;12;550
Queso duro;Planeta rica;1;500
Queso duro;Planeta rica;2;500
Queso duro;Planeta rica;3;500
Queso duro;Planeta rica;4;500
Queso duro;Planeta rica;5;500
Queso duro;Planeta rica;6;500
Queso duro;Planeta rica;7;500
Queso duro;Planeta rica;8;500
Queso duro;Planeta rica;9;500
Queso duro;Planeta rica;10;500
Queso duro;Planeta rica;11;500
Queso duro;Planeta rica;12;500
Queso blando;Monteria;1;550
Queso blando;Monteria;2;550
Queso blando;Monteria;3;550
Queso blando;Monteria;4;550
Queso blando;Monteria;5;550
Queso blando;Monteria;6;550
Queso blando;Monteria;7;550
Queso blando;Monteria;8;550
Queso blando;Monteria;9;550
Queso blando;Monteria;10;550
Queso blando;Monteria;11;550
Queso blando;Monteria;12;550
Queso blando;Chinu;1;550
Queso blando;Chinu;2;550
Queso blando;Chinu;3;550
Queso blando;Chinu;4;550
Queso blando;Chinu;5;550
Queso blando;Chinu;6;550
Queso blando;Chinu;7;550
Queso blando;Chinu;8;550
Queso blando;Chinu;9;550
Queso blando;Chinu;10;550
Queso blando;Chinu;11;550
Queso blando;Chinu;12;550
Queso blando;Planeta rica;1;500
Queso blando;Planeta rica;2;500
Queso blando;Planeta rica;3;500
Queso blando;Planeta rica;4;500
Queso blando;Planeta rica;5;500
Queso blando;Planeta rica;6;500
Queso blando;Planeta rica;7;500
Queso blando;Planeta rica;8;500
Queso blando;Planeta rica;9;500
Queso blando;Planeta rica;10;500
Queso blando;Planeta rica;11;500
Queso blando;Planeta rica;12;500
