Productos;CAcopios;Clientes;Tiempo;CostoTransAcopioClie
Queso duro;Monteria;Santa Marta;1;773
Queso duro;Monteria;Santa Marta;2;773
Queso duro;Monteria;Santa Marta;3;773
Queso duro;Monteria;Santa Marta;4;773
Queso duro;Monteria;Santa Marta;5;773
Queso duro;Monteria;Santa Marta;6;773
Queso duro;Monteria;Santa Marta;7;773
Queso duro;Monteria;Santa Marta;8;773
Queso duro;Monteria;Santa Marta;9;773
Queso duro;Monteria;Santa Marta;10;773
Queso duro;Monteria;Santa Marta;11;773
Queso duro;Monteria;Santa Marta;12;773
Queso duro;Monteria;Riohacha;1;1060
Queso duro;Monteria;Riohacha;2;1060
Queso duro;Monteria;Riohacha;3;1060
Queso duro;Monteria;Riohacha;4;1060
Queso duro;Monteria;Riohacha;5;1060
Queso duro;Monteria;Riohacha;6;1060
Queso duro;Monteria;Riohacha;7;1060
Queso duro;Monteria;Riohacha;8;1060
Queso duro;Monteria;Riohacha;9;1060
Queso duro;Monteria;Riohacha;10;1060
Queso duro;Monteria;Riohacha;11;1060
Queso duro;Monteria;Riohacha;12;1060
Queso duro;Monteria;Monteria;1;156
Queso duro;Monteria;Monteria;2;156
Queso duro;Monteria;Monteria;3;156
Queso duro;Monteria;Monteria;4;156
Queso duro;Monteria;Monteria;5;156
Queso duro;Monteria;Monteria;6;156
Queso duro;Monteria;Monteria;7;156
Queso duro;Monteria;Monteria;8;156
Queso duro;Monteria;Monteria;9;156
Queso duro;Monteria;Monteria;10;156
Queso duro;Monteria;Monteria;11;156
Queso duro;Monteria;Monteria;12;156
Queso duro;Monteria;Barranquilla;1;623
Queso duro;Monteria;Barranquilla;2;623
Queso duro;Monteria;Barranquilla;3;623
Queso duro;Monteria;Barranquilla;4;623
Queso duro;Monteria;Barranquilla;5;623
Queso duro;Monteria;Barranquilla;6;623
Queso duro;Monteria;Barranquilla;7;623
Queso duro;Monteria;Barranquilla;8;623
Queso duro;Monteria;Barranquilla;9;623
Queso duro;Monteria;Barranquilla;10;623
Queso duro;Monteria;Barranquilla;11;623
Queso duro;Monteria;Barranquilla;12;623
Queso duro;Monteria;Bogotá;1;1225
Queso duro;Monteria;Bogotá;2;1225
Queso duro;Monteria;Bogotá;3;1225
Queso duro;Monteria;Bogotá;4;1225
Queso duro;Monteria;Bogotá;5;1225
Queso duro;Monteria;Bogotá;6;1225
Queso duro;Monteria;Bogotá;7;1225
Queso duro;Monteria;Bogotá;8;1225
Queso duro;Monteria;Bogotá;9;1225
Queso duro;Monteria;Bogotá;10;1225
Queso duro;Monteria;Bogotá;11;1225
Queso duro;Monteria;Bogotá;12;1225
Queso duro;Monteria;Bucaramanga;1;1004
Queso duro;Monteria;Bucaramanga;2;1004
Queso duro;Monteria;Bucaramanga;3;1004
Queso duro;Monteria;Bucaramanga;4;1004
Queso duro;Monteria;Bucaramanga;5;1004
Queso duro;Monteria;Bucaramanga;6;1004
Queso duro;Monteria;Bucaramanga;7;1004
Queso duro;Monteria;Bucaramanga;8;1004
Queso duro;Monteria;Bucaramanga;9;1004
Queso duro;Monteria;Bucaramanga;10;1004
Queso duro;Monteria;Bucaramanga;11;1004
Queso duro;Monteria;Bucaramanga;12;1004
Queso duro;Monteria;Cartagena;1;509
Queso duro;Monteria;Cartagena;2;509
Queso duro;Monteria;Cartagena;3;509
Queso duro;Monteria;Cartagena;4;509
Queso duro;Monteria;Cartagena;5;509
Queso duro;Monteria;Cartagena;6;509
Queso duro;Monteria;Cartagena;7;509
Queso duro;Monteria;Cartagena;8;509
Queso duro;Monteria;Cartagena;9;509
Queso duro;Monteria;Cartagena;10;509
Queso duro;Monteria;Cartagena;11;509
Queso duro;Monteria;Cartagena;12;509
Queso duro;Monteria;Cali;1;1328
Queso duro;Monteria;Cali;2;1328
Queso duro;Monteria;Cali;3;1328
Queso duro;Monteria;Cali;4;1328
Queso duro;Monteria;Cali;5;1328
Queso duro;Monteria;Cali;6;1328
Queso duro;Monteria;Cali;7;1328
Queso duro;Monteria;Cali;8;1328
Queso duro;Monteria;Cali;9;1328
Queso duro;Monteria;Cali;10;1328
Queso duro;Monteria;Cali;11;1328
Queso duro;Monteria;Cali;12;1328
Queso duro;Monteria;Cúcuta;1;1237
Queso duro;Monteria;Cúcuta;2;1237
Queso duro;Monteria;Cúcuta;3;1237
Queso duro;Monteria;Cúcuta;4;1237
Queso duro;Monteria;Cúcuta;5;1237
Queso duro;Monteria;Cúcuta;6;1237
Queso duro;Monteria;Cúcuta;7;1237
Queso duro;Monteria;Cúcuta;8;1237
Queso duro;Monteria;Cúcuta;9;1237
Queso duro;Monteria;Cúcuta;10;1237
Queso duro;Monteria;Cúcuta;11;1237
Queso duro;Monteria;Cúcuta;12;1237
Queso duro;Monteria;Medellín;1;617
Queso duro;Monteria;Medellín;2;617
Queso duro;Monteria;Medellín;3;617
Queso duro;Monteria;Medellín;4;617
Queso duro;Monteria;Medellín;5;617
Queso duro;Monteria;Medellín;6;617
Queso duro;Monteria;Medellín;7;617
Queso duro;Monteria;Medellín;8;617
Queso duro;Monteria;Medellín;9;617
Queso duro;Monteria;Medellín;10;617
Queso duro;Monteria;Medellín;11;617
Queso duro;Monteria;Medellín;12;617
Queso duro;Monteria;Valledupar;1;880
Queso duro;Monteria;Valledupar;2;880
Queso duro;Monteria;Valledupar;3;880
Queso duro;Monteria;Valledupar;4;880
Queso duro;Monteria;Valledupar;5;880
Queso duro;Monteria;Valledupar;6;880
Queso duro;Monteria;Valledupar;7;880
Queso duro;Monteria;Valledupar;8;880
Queso duro;Monteria;Valledupar;9;880
Queso duro;Monteria;Valledupar;10;880
Queso duro;Monteria;Valledupar;11;880
Queso duro;Monteria;Valledupar;12;880
Queso duro;Chinu;Santa Marta;1;612
Queso duro;Chinu;Santa Marta;2;612
Queso duro;Chinu;Santa Marta;3;612
Queso duro;Chinu;Santa Marta;4;612
Queso duro;Chinu;Santa Marta;5;612
Queso duro;Chinu;Santa Marta;6;612
Queso duro;Chinu;Santa Marta;7;612
Queso duro;Chinu;Santa Marta;8;612
Queso duro;Chinu;Santa Marta;9;612
Queso duro;Chinu;Santa Marta;10;612
Queso duro;Chinu;Santa Marta;11;612
Queso duro;Chinu;Santa Marta;12;612
Queso duro;Chinu;Riohacha;1;897
Queso duro;Chinu;Riohacha;2;897
Queso duro;Chinu;Riohacha;3;897
Queso duro;Chinu;Riohacha;4;897
Queso duro;Chinu;Riohacha;5;897
Queso duro;Chinu;Riohacha;6;897
Queso duro;Chinu;Riohacha;7;897
Queso duro;Chinu;Riohacha;8;897
Queso duro;Chinu;Riohacha;9;897
Queso duro;Chinu;Riohacha;10;897
Queso duro;Chinu;Riohacha;11;897
Queso duro;Chinu;Riohacha;12;897
Queso duro;Chinu;Monteria;1;218
Queso duro;Chinu;Monteria;2;218
Queso duro;Chinu;Monteria;3;218
Queso duro;Chinu;Monteria;4;218
