Productos;CAcopios;Tiempo;CostoVarAcopio
Queso duro;Monteria;1;920
Queso duro;Monteria;2;920
Queso duro;Monteria;3;920
Queso duro;Monteria;4;920
Queso duro;Monteria;5;920
Queso duro;Monteria;6;920
Queso duro;Monteria;7;920
Queso duro;Monteria;8;920
Queso duro;Monteria;9;920
Queso duro;Monteria;10;920
Queso duro;Monteria;11;920
Queso duro;Monteria;12;920
Queso duro;Chinu;1;875
Queso duro;Chinu;2;875
Queso duro;Chinu;3;875
Queso duro;Chinu;4;875
Queso duro;Chinu;5;875
Queso duro;Chinu;6;875
Queso duro;Chinu;7;875
Queso duro;Chinu;8;875
Queso duro;Chinu;9;875
Queso duro;Chinu;10;875
Queso duro;Chinu;11;875
Queso duro;Chinu;12;875
Queso duro;Planeta rica;1;850
Queso duro;Planeta rica;2;850
Queso duro;Planeta rica;3;850
Queso duro;Planeta rica;4;850
Queso duro;Planeta rica;5;850
Queso duro;Planeta rica;6;850
Queso duro;Planeta rica;7;850
Queso duro;Planeta rica;8;850
Queso duro;Planeta rica;9;850
Queso duro;Planeta rica;10;850
Queso duro;Planeta rica;11;850
Queso duro;Planeta rica;12;850
Queso blando;Monteria;1;920
Queso blando;Monteria;2;920
Queso blando;Monteria;3;920
Queso blando;Monteria;4;920
Queso blando;Monteria;5;920
Queso blando;Monteria;6;920
Queso blando;Monteria;7;920
Queso blando;Monteria;8;920
Queso blando;Monteria;9;920
Queso blando;Monteria;10;920
Queso blando;Monteria;11;920
Queso blando;Monteria;12;920
Queso blando;Chinu;1;875
Queso blando;Chinu;2;875
Queso blando;Chinu;3;875
Queso blando;Chinu;4;875
Queso blando;Chinu;5;875
Queso blando;Chinu;6;875
Queso blando;Chinu;7;875
Queso blando;Chinu;8;875
Queso blando;Chinu;9;875
Queso blando;Chinu;10;875
Queso blando;Chinu;11;875
Queso blando;Chinu;12;875
Queso blando;Planeta rica;1;850
Queso blando;Planeta rica;2;850
Queso blando;Planeta rica;3;850
Queso blando;Planeta rica;4;850
Queso blando;Planeta rica;5;850
Queso blando;Planeta rica;6;850
Queso blando;Planeta rica;7;850
Queso blando;Planeta rica;8;850
Queso blando;Planeta rica;9;850
Queso blando;Planeta rica;10;850
Queso blando;Planeta rica;11;850
Queso blando;Planeta rica;12;850
