Productos;Clientes;Tiempo;DemandaClie
Queso duro;Santa Marta;1;6740
Queso duro;Santa Marta;2;6825
Queso duro;Santa Marta;3;7144
Queso duro;Santa Marta;4;7003
Queso duro;Santa Marta;5;7044
Queso duro;Santa Marta;6;6966
Queso duro;Santa Marta;7;6959
Queso duro;Santa Marta;8;7266
Queso duro;Santa Marta;9;7111
Queso duro;Santa Marta;10;7239
Queso duro;Santa Marta;11;7384
Queso duro;Santa Marta;12;7532
Queso duro;Riohacha;1;6740
Queso duro;Riohacha;2;6825
Queso duro;Riohacha;3;7144
Queso duro;Riohacha;4;7003
Queso duro;Riohacha;5;7044
Queso duro;Riohacha;6;6966
Queso duro;Riohacha;7;6959
Queso duro;Riohacha;8;7266
Queso duro;Riohacha;9;7111
Queso duro;Riohacha;10;7239
Queso duro;Riohacha;11;7384
Queso duro;Riohacha;12;7532
Queso duro;Monteria;1;6740
Queso duro;Monteria;2;6825
Queso duro;Monteria;3;7144
Queso duro;Monteria;4;7003
Queso duro;Monteria;5;7044
Queso duro;Monteria;6;6966
Queso duro;Monteria;7;6959
Queso duro;Monteria;8;7266
Queso duro;Monteria;9;7111
Queso duro;Monteria;10;7239
Queso duro;Monteria;11;7384
Queso duro;Monteria;12;7532
Queso duro;Barranquilla;1;6740
Queso duro;Barranquilla;2;6825
Queso duro;Barranquilla;3;7144
Queso duro;Barranquilla;4;7003
Queso duro;Barranquilla;5;7044
Queso duro;Barranquilla;6;6966
Queso duro;Barranquilla;7;6959
Queso duro;Barranquilla;8;7266
Queso duro;Barranquilla;9;7111
Queso duro;Barranquilla;10;7239
Queso duro;Barranquilla;11;7384
Queso duro;Barranquilla;12;7532
Queso duro;Bogotá;1;6740
Queso duro;Bogotá;2;6825
Queso duro;Bogotá;3;7144
Queso duro;Bogotá;4;7003
Queso duro;Bogotá;5;7044
Queso duro;Bogotá;6;6966
Queso duro;Bogotá;7;6959
Queso duro;Bogotá;8;7266
Queso duro;Bogotá;9;7111
Queso duro;Bogotá;10;7239
Queso duro;Bogotá;11;7384
Queso duro;Bogotá;12;7532
Queso duro;Bucaramanga;1;6740
Queso duro;Bucaramanga;2;6825
Queso duro;Bucaramanga;3;7144
Queso duro;Bucaramanga;4;7003
Queso duro;Bucaramanga;5;7044
Queso duro;Bucaramanga;6;6966
Queso duro;Bucaramanga;7;6959
Queso duro;Bucaramanga;8;7266
Queso duro;Bucaramanga;9;7111
Queso duro;Bucaramanga;10;7239
Queso duro;Bucaramanga;11;7384
Queso duro;Bucaramanga;12;7532
Queso duro;Cartagena;1;6740
Queso duro;Cartagena;2;6825
Queso duro;Cartagena;3;7144
Queso duro;Cartagena;4;7003
Queso duro;Cartagena;5;7044
Queso duro;Cartagena;6;6966
Queso duro;Cartagena;7;6959
Queso duro;Cartagena;8;7266
Queso duro;Cartagena;9;7111
Queso duro;Cartagena;10;7239
Queso duro;Cartagena;11;7384
Queso duro;Cartagena;12;7532
Queso duro;Cali;1;6740
Queso duro;Cali;2;6825
Queso duro;Cali;3;7144
Queso duro;Cali;4;7003
Queso duro;Cali;5;7044
Queso duro;Cali;6;6966
Queso duro;Cali;7;6959
Queso duro;Cali;8;7266
Queso duro;Cali;9;7111
Queso duro;Cali;10;7239
Queso duro;Cali;11;7384
Queso duro;Cali;12;7532
Queso duro;Cúcuta;1;6740
Queso duro;Cúcuta;2;6825
Queso duro;Cúcuta;3;7144
Queso duro;Cúcuta;4;7003
Queso duro;Cúcuta;5;7044
Queso duro;Cúcuta;6;6966
Queso duro;Cúcuta;7;6959
Queso duro;Cúcuta;8;7266
Queso duro;Cúcuta;9;7111
Queso duro;Cúcuta;10;7239
Queso duro;Cúcuta;11;7384
Queso duro;Cúcuta;12;7532
Queso duro;Medellín;1;6740
Queso duro;Medellín;2;6825
Queso duro;Medellín;3;7144
Queso duro;Medellín;4;7003
Queso duro;Medellín;5;7044
Queso duro;Medellín;6;6966
Queso duro;Medellín;7;6959
Queso duro;Medellín;8;7266
Queso duro;Medellín;9;7111
Queso duro;Medellín;10;7239
Queso duro;Medellín;11;7384
Queso duro;Medellín;12;7532
Queso duro;Valledupar;1;6740
Queso duro;Valledupar;2;6825
Queso duro;Valledupar;3;7144
Queso duro;Valledupar;4;7003
Queso duro;Valledupar;5;7044
Queso duro;Valledupar;6;6966
Queso duro;Valledupar;7;6959
Queso duro;Valledupar;8;7266
Queso duro;Valledupar;9;7111
Queso duro;Valledupar;10;7239
Queso duro;Valledupar;11;7384
Queso duro;Valledupar;12;7532
Queso blando;Santa Marta;1;3354
Queso blando;Santa Marta;2;3396
Queso blando;Santa Marta;3;3355
Queso blando;Santa Marta;4;3485
Queso blando;Santa Marta;5;3505
Queso blando;Santa Marta;6;3466
Queso blando;Santa Marta;7;3463
Queso blando;Santa Marta;8;3616
Queso blando;Santa Marta;9;3539
Queso blando;Santa Marta;10;3602
Queso blando;Santa Marta;11;3674
Queso blando;Santa Marta;12;3748
Queso blando;Riohacha;1;3354
Queso blando;Riohacha;2;3396
Queso blando;Riohacha;3;3355
Queso blando;Riohacha;4;3485
Queso blando;Riohacha;5;3505
Queso blando;Riohacha;6;3466
Queso blando;Riohacha;7;3463
Queso blando;Riohacha;8;3616
Queso blando;Riohacha;9;3539
Queso blando;Riohacha;10;3602
Queso blando;Riohacha;11;3674
Queso blando;Riohacha;12;3748
Queso blando;Monteria;1;3354
Queso blando;Monteria;2;3396
Queso blando;Monteria;3;3355
Queso blando;Monteria;4;3485
Queso blando;Monteria;5;3505
Queso blando;Monteria;6;3466
Queso blando;Monteria;7;3463
Queso blando;Monteria;8;3616
Queso blando;Monteria;9;3539
Queso blando;Monteria;10;3602
Queso blando;Monteria;11;3674
Queso blando;Monteria;12;3748
Queso blando;Barranquilla;1;3354
Queso blando;Barranquilla;2;3396
Queso blando;Barranquilla;3;3355
Queso blando;Barranquilla;4;3485
Queso blando;Barranquilla;5;3505
Queso blando;Barranquilla;6;3466
Queso blando;Barranquilla;7;3463
Queso blando;Barranquilla;8;3616
Queso blando;Barranquilla;9;3539
Queso blando;Barranquilla;10;3602
Queso blando;Barranquilla;11;3674
Queso blando;Barranquilla;12;3748
Queso blando;Bogotá;1;3354
Queso blando;Bogotá;2;3396
Queso blando;Bogotá;3;3355
Queso blando;Bogotá;4;3485
Queso blando;Bogotá;5;3505
Queso blando;Bogotá;6;3466
Queso blando;Bogotá;7;3463
Queso blando;Bogotá;8;3616
Queso blando;Bogotá;9;3539
Queso blando;Bogotá;10;3602
Queso blando;Bogotá;11;3674
Queso blando;Bogotá;12;3748
Queso blando;Bucaramanga;1;3354
Queso blando;Bucaramanga;2;3396
Queso blando;Bucaramanga;3;3355
Queso blando;Bucaramanga;4;3485
Queso blando;Bucaramanga;5;3505
Queso blando;Bucaramanga;6;3466
Queso blando;Bucaramanga;7;3463
Queso blando;Bucaramanga;8;3616
Queso blando;Bucaramanga;9;3539
Queso blando;Bucaramanga;10;3602
Queso blando;Bucaramanga;11;3674
Queso blando;Bucaramanga;12;3748
Queso blando;Cartagena;1;3354
Queso blando;Cartagena;2;3396
Queso blando;Cartagena;3;3355
Queso blando;Cartagena;4;3485
Queso blando;Cartagena;5;3505
Queso blando;Cartagena;6;3466
Queso blando;Cartagena;7;3463
Queso blando;Cartagena;8;3616
