Productos;Tiempo;Precio
Queso duro;1;19500
Queso duro;2;19954,35
Queso duro;3;20232,38061
Queso duro;4;20447,51826
Queso duro;5;20485,68696
Queso duro;6;20609,28394
Queso duro;7;20758,35776
Queso duro;8;20907,12599
Queso duro;9;21069,50467
Queso duro;10;21188,89853
Queso duro;11;21466,4731
Queso duro;12;21964,49527
Queso blando;1;19450
Queso blando;2;19903,185
Queso blando;3;20180,50271
Queso blando;4;20395,08872
Queso blando;5;20433,15956
Queso blando;6;20556,43962
Queso blando;7;20705,1312
Queso blando;8;20853,51797
Queso blando;9;21015,48029
Queso blando;10;21134,56802
Queso blando;11;21411,43086
Queso blando;12;21908,17605
