Productos,CAcopios,Clientes,Tiempo,AC
Queso duro,Monteria,Santa Marta,1,0.0
Queso duro,Monteria,Santa Marta,2,0.0
Queso duro,Monteria,Santa Marta,3,0.0
Queso duro,Monteria,Santa Marta,4,0.0
Queso duro,Monteria,Santa Marta,5,0.0
Queso duro,Monteria,Santa Marta,6,0.0
Queso duro,Monteria,Santa Marta,7,0.0
Queso duro,Monteria,Santa Marta,8,0.0
Queso duro,Monteria,Santa Marta,9,0.0
Queso duro,Monteria,Santa Marta,10,0.0
Queso duro,Monteria,Santa Marta,11,0.0
Queso duro,Monteria,Santa Marta,12,0.0
Queso duro,Monteria,Riohacha,1,0.0
Queso duro,Monteria,Riohacha,2,0.0
Queso duro,Monteria,Riohacha,3,0.0
Queso duro,Monteria,Riohacha,4,0.0
Queso duro,Monteria,Riohacha,5,0.0
Queso duro,Monteria,Riohacha,6,0.0
Queso duro,Monteria,Riohacha,7,0.0
Queso duro,Monteria,Riohacha,8,0.0
Queso duro,Monteria,Riohacha,9,0.0
Queso duro,Monteria,Riohacha,10,0.0
Queso duro,Monteria,Riohacha,11,0.0
Queso duro,Monteria,Riohacha,12,0.0
Queso duro,Monteria,Monteria,1,0.0
Queso duro,Monteria,Monteria,2,0.0
Queso duro,Monteria,Monteria,3,0.0
Queso duro,Monteria,Monteria,4,0.0
Queso duro,Monteria,Monteria,5,32484.0
Queso duro,Monteria,Monteria,6,31626.0
Queso duro,Monteria,Monteria,7,31549.0
Queso duro,Monteria,Monteria,8,34926.0
Queso duro,Monteria,Monteria,9,0.0
Queso duro,Monteria,Monteria,10,0.0
Queso duro,Monteria,Monteria,11,0.0
Queso duro,Monteria,Monteria,12,38152.0
Queso duro,Monteria,Barranquilla,1,0.0
Queso duro,Monteria,Barranquilla,2,0.0
Queso duro,Monteria,Barranquilla,3,0.0
Queso duro,Monteria,Barranquilla,4,0.0
Queso duro,Monteria,Barranquilla,5,0.0
Queso duro,Monteria,Barranquilla,6,0.0
Queso duro,Monteria,Barranquilla,7,0.0
Queso duro,Monteria,Barranquilla,8,0.0
Queso duro,Monteria,Barranquilla,9,0.0
Queso duro,Monteria,Barranquilla,10,0.0
Queso duro,Monteria,Barranquilla,11,0.0
Queso duro,Monteria,Barranquilla,12,0.0
Queso duro,Monteria,Bogotá,1,0.0
Queso duro,Monteria,Bogotá,2,0.0
Queso duro,Monteria,Bogotá,3,0.0
Queso duro,Monteria,Bogotá,4,0.0
Queso duro,Monteria,Bogotá,5,0.0
Queso duro,Monteria,Bogotá,6,0.0
Queso duro,Monteria,Bogotá,7,0.0
Queso duro,Monteria,Bogotá,8,0.0
Queso duro,Monteria,Bogotá,9,0.0
Queso duro,Monteria,Bogotá,10,0.0
Queso duro,Monteria,Bogotá,11,0.0
Queso duro,Monteria,Bogotá,12,0.0
Queso duro,Monteria,Bucaramanga,1,0.0
Queso duro,Monteria,Bucaramanga,2,0.0
Queso duro,Monteria,Bucaramanga,3,0.0
Queso duro,Monteria,Bucaramanga,4,0.0
Queso duro,Monteria,Bucaramanga,5,0.0
Queso duro,Monteria,Bucaramanga,6,0.0
Queso duro,Monteria,Bucaramanga,7,0.0
Queso duro,Monteria,Bucaramanga,8,0.0
Queso duro,Monteria,Bucaramanga,9,0.0
Queso duro,Monteria,Bucaramanga,10,0.0
Queso duro,Monteria,Bucaramanga,11,0.0
Queso duro,Monteria,Bucaramanga,12,0.0
Queso duro,Monteria,Cartagena,1,0.0
Queso duro,Monteria,Cartagena,2,0.0
Queso duro,Monteria,Cartagena,3,0.0
Queso duro,Monteria,Cartagena,4,0.0
Queso duro,Monteria,Cartagena,5,0.0
Queso duro,Monteria,Cartagena,6,0.0
Queso duro,Monteria,Cartagena,7,0.0
Queso duro,Monteria,Cartagena,8,0.0
Queso duro,Monteria,Cartagena,9,0.0
Queso duro,Monteria,Cartagena,10,0.0
Queso duro,Monteria,Cartagena,11,0.0
Queso duro,Monteria,Cartagena,12,0.0
Queso duro,Monteria,Cali,1,0.0
Queso duro,Monteria,Cali,2,0.0
Queso duro,Monteria,Cali,3,0.0
Queso duro,Monteria,Cali,4,0.0
Queso duro,Monteria,Cali,5,0.0
Queso duro,Monteria,Cali,6,0.0
Queso duro,Monteria,Cali,7,0.0
Queso duro,Monteria,Cali,8,0.0
Queso duro,Monteria,Cali,9,0.0
Queso duro,Monteria,Cali,10,0.0
Queso duro,Monteria,Cali,11,0.0
Queso duro,Monteria,Cali,12,0.0
Queso duro,Monteria,Cúcuta,1,0.0
Queso duro,Monteria,Cúcuta,2,0.0
Queso duro,Monteria,Cúcuta,3,0.0
Queso duro,Monteria,Cúcuta,4,0.0
Queso duro,Monteria,Cúcuta,5,0.0
Queso duro,Monteria,Cúcuta,6,0.0
Queso duro,Monteria,Cúcuta,7,0.0
Queso duro,Monteria,Cúcuta,8,0.0
Queso duro,Monteria,Cúcuta,9,0.0
Queso duro,Monteria,Cúcuta,10,0.0
Queso duro,Monteria,Cúcuta,11,0.0
Queso duro,Monteria,Cúcuta,12,0.0
Queso duro,Monteria,Medellín,1,0.0
Queso duro,Monteria,Medellín,2,0.0
Queso duro,Monteria,Medellín,3,0.0
Queso duro,Monteria,Medellín,4,0.0
Queso duro,Monteria,Medellín,5,0.0
Queso duro,Monteria,Medellín,6,0.0
Queso duro,Monteria,Medellín,7,0.0
Queso duro,Monteria,Medellín,8,0.0
Queso duro,Monteria,Medellín,9,0.0
Queso duro,Monteria,Medellín,10,0.0
Queso duro,Monteria,Medellín,11,0.0
Queso duro,Monteria,Medellín,12,0.0
Queso duro,Monteria,Valledupar,1,0.0
Queso duro,Monteria,Valledupar,2,0.0
Queso duro,Monteria,Valledupar,3,0.0
Queso duro,Monteria,Valledupar,4,0.0
Queso duro,Monteria,Valledupar,5,0.0
Queso duro,Monteria,Valledupar,6,0.0
Queso duro,Monteria,Valledupar,7,0.0
Queso duro,Monteria,Valledupar,8,0.0
Queso duro,Monteria,Valledupar,9,0.0
Queso duro,Monteria,Valledupar,10,0.0
Queso duro,Monteria,Valledupar,11,0.0
Queso duro,Monteria,Valledupar,12,0.0
Queso duro,Chinu,Santa Marta,1,0.0
Queso duro,Chinu,Santa Marta,2,0.0
Queso duro,Chinu,Santa Marta,3,0.0
Queso duro,Chinu,Santa Marta,4,0.0
Queso duro,Chinu,Santa Marta,5,0.0
Queso duro,Chinu,Santa Marta,6,0.0
Queso duro,Chinu,Santa Marta,7,0.0
Queso duro,Chinu,Santa Marta,8,0.0
Queso duro,Chinu,Santa Marta,9,0.0
Queso duro,Chinu,Santa Marta,10,0.0
Queso duro,Chinu,Santa Marta,11,0.0
Queso duro,Chinu,Santa Marta,12,0.0
Queso duro,Chinu,Riohacha,1,0.0
Queso duro,Chinu,Riohacha,2,0.0
Queso duro,Chinu,Riohacha,3,0.0
Queso duro,Chinu,Riohacha,4,0.0
Queso duro,Chinu,Riohacha,5,0.0
Queso duro,Chinu,Riohacha,6,0.0
Queso duro,Chinu,Riohacha,7,0.0
Queso duro,Chinu,Riohacha,8,0.0
Queso duro,Chinu,Riohacha,9,0.0
Queso duro,Chinu,Riohacha,10,0.0
Queso duro,Chinu,Riohacha,11,0.0
Queso duro,Chinu,Riohacha,12,0.0
Queso duro,Chinu,Monteria,1,0.0
Queso duro,Chinu,Monteria,2,0.0
Queso duro,Chinu,Monteria,3,0.0
Queso duro,Chinu,Monteria,4,0.0
Queso duro,Chinu,Monteria,5,0.0
Queso duro,Chinu,Monteria,6,0.0
Queso duro,Chinu,Monteria,7,0.0
Queso duro,Chinu,Monteria,8,0.0
Queso duro,Chinu,Monteria,9,-1.43095412062798e-13
Queso duro,Chinu,Monteria,10,0.0
Queso duro,Chinu,Monteria,11,0.0
Queso duro,Chinu,Monteria,12,0.0
Queso duro,Chinu,Barranquilla,1,0.0
Queso duro,Chinu,Barranquilla,2,0.0
Queso duro,Chinu,Barranquilla,3,0.0
Queso duro,Chinu,Barranquilla,4,0.0
Queso duro,Chinu,Barranquilla,5,0.0
Queso duro,Chinu,Barranquilla,6,0.0
Queso duro,Chinu,Barranquilla,7,0.0
Queso duro,Chinu,Barranquilla,8,0.0
Queso duro,Chinu,Barranquilla,9,0.0
Queso duro,Chinu,Barranquilla,10,0.0
Queso duro,Chinu,Barranquilla,11,0.0
Queso duro,Chinu,Barranquilla,12,0.0
Queso duro,Chinu,Bogotá,1,0.0
