CAcopios,Tiempo,CA
Monteria,1,0.0
Monteria,2,0.0
Monteria,3,0.0
Monteria,4,0.0
Monteria,5,1.0
Monteria,6,1.0
Monteria,7,1.0
Monteria,8,1.0
Monteria,9,0.0
Monteria,10,0.0
Monteria,11,0.0
Monteria,12,1.0
Chinu,1,0.0
Chinu,2,0.0
Chinu,3,0.0
Chinu,4,0.0
Chinu,5,0.0
Chinu,6,0.0
Chinu,7,0.0
Chinu,8,0.0
Chinu,9,0.0
Chinu,10,0.0
Chinu,11,0.0
Chinu,12,1.0
Planeta rica,1,0.0
Planeta rica,2,0.0
Planeta rica,3,0.0
Planeta rica,4,1.0
Planeta rica,5,1.0
Planeta rica,6,1.0
Planeta rica,7,1.0
Planeta rica,8,1.0
Planeta rica,9,1.0
Planeta rica,10,0.0
Planeta rica,11,0.0
Planeta rica,12,1.0
