Productos,CAcopios,Tiempo,InvCA
Queso duro,Monteria,1,0.0
Queso duro,Monteria,2,0.0
Queso duro,Monteria,3,0.0
Queso duro,Monteria,4,0.0
Queso duro,Monteria,5,0.0
Queso duro,Monteria,6,0.0
Queso duro,Monteria,7,0.0
Queso duro,Monteria,8,0.0
Queso duro,Monteria,9,0.0
Queso duro,Monteria,10,0.0
Queso duro,Monteria,11,0.0
Queso duro,Monteria,12,6248.0
Queso duro,Chinu,1,0.0
Queso duro,Chinu,2,0.0
Queso duro,Chinu,3,0.0
Queso duro,Chinu,4,0.0
Queso duro,Chinu,5,0.0
Queso duro,Chinu,6,0.0
Queso duro,Chinu,7,0.0
Queso duro,Chinu,8,0.0
Queso duro,Chinu,9,0.0
Queso duro,Chinu,10,0.0
Queso duro,Chinu,11,0.0
Queso duro,Chinu,12,31380.0
Queso duro,Planeta rica,1,0.0
Queso duro,Planeta rica,2,0.0
Queso duro,Planeta rica,3,0.0
Queso duro,Planeta rica,4,0.0
Queso duro,Planeta rica,5,0.0
Queso duro,Planeta rica,6,0.0
Queso duro,Planeta rica,7,0.0
Queso duro,Planeta rica,8,0.0
Queso duro,Planeta rica,9,0.0
Queso duro,Planeta rica,10,0.0
Queso duro,Planeta rica,11,0.0
Queso duro,Planeta rica,12,-0.0
Queso blando,Monteria,1,0.0
Queso blando,Monteria,2,0.0
Queso blando,Monteria,3,0.0
Queso blando,Monteria,4,0.0
Queso blando,Monteria,5,0.0
Queso blando,Monteria,6,0.0
Queso blando,Monteria,7,0.0
Queso blando,Monteria,8,0.0
Queso blando,Monteria,9,0.0
Queso blando,Monteria,10,0.0
Queso blando,Monteria,11,0.0
Queso blando,Monteria,12,4750.0
Queso blando,Chinu,1,0.0
Queso blando,Chinu,2,0.0
Queso blando,Chinu,3,0.0
Queso blando,Chinu,4,0.0
Queso blando,Chinu,5,0.0
Queso blando,Chinu,6,0.0
Queso blando,Chinu,7,0.0
Queso blando,Chinu,8,0.0
Queso blando,Chinu,9,0.0
Queso blando,Chinu,10,0.0
Queso blando,Chinu,11,0.0
Queso blando,Chinu,12,9110.0
Queso blando,Planeta rica,1,0.0
Queso blando,Planeta rica,2,0.0
Queso blando,Planeta rica,3,0.0
Queso blando,Planeta rica,4,0.0
Queso blando,Planeta rica,5,0.0
Queso blando,Planeta rica,6,0.0
Queso blando,Planeta rica,7,0.0
Queso blando,Planeta rica,8,0.0
Queso blando,Planeta rica,9,0.0
Queso blando,Planeta rica,10,0.0
Queso blando,Planeta rica,11,0.0
Queso blando,Planeta rica,12,3302.0
