Distribution,Parameters,KS_pvalue
norm,"(2.429222043355306, 0.4480335866974513)",0.41897730923433996
expon,"(1.7878379821777344, 0.6413840611775714)",0.22647946041373013
lognorm,"(0.5031457260648009, 1.5352766704928698, 0.7901565031498115)",0.981281146212701
weibull_min,"(1.49779683606273, 1.7646280136746442, 0.7353707841211704)",0.9693207843524445
gamma,"(2.290312615951405, 1.7284415680869034, 0.3059753955690128)",0.9841649476325071
erlang,"(2.290346146567283, 1.7284381938220945, 0.3059710362239828)",0.98416771327378
triang,"(0.14281183866790242, 1.7142607731911106, 2.0654626345313876)",0.49041762429261637
logistic,"(2.3791316059019874, 0.25224628234783103)",0.6859014044203349
halfnorm,"(1.7878379511801983, 0.7823973986313535)",0.7661539416787391
cauchy,"(2.273340107235419, 0.2465631391752502)",0.35622411867344306
