CAcopios;Tiempo;CostoFijoAcopio
COSTAÑERA;Enero;4300000
COSTAÑERA;Febrero;4300000
COSTAÑERA;Marzo;4300000
COSTAÑERA;Abril;4300000
COSTAÑERA;Mayo;4300000
COSTAÑERA;Junio;4300000
COSTAÑERA;Julio;4300000
COSTAÑERA;Agosto;4300000
COSTAÑERA;Septiembre;4300000
COSTAÑERA;Octubre;4300000
COSTAÑERA;Noviembre;4300000
COSTAÑERA;Diciembre;4300000
SABANAS;Enero;4450000
SABANAS;Febrero;4450000
SABANAS;Marzo;4450000
SABANAS;Abril;4450000
SABANAS;Mayo;4450000
SABANAS;Junio;4450000
SABANAS;Julio;4450000
SABANAS;Agosto;4450000
SABANAS;Septiembre;4450000
SABANAS;Octubre;4450000
SABANAS;Noviembre;4450000
SABANAS;Diciembre;4450000
SAN JORGE;Enero;4330000
SAN JORGE;Febrero;4330000
SAN JORGE;Marzo;4330000
SAN JORGE;Abril;4330000
SAN JORGE;Mayo;4330000
SAN JORGE;Junio;4330000
SAN JORGE;Julio;4330000
SAN JORGE;Agosto;4330000
SAN JORGE;Septiembre;4330000
SAN JORGE;Octubre;4330000
SAN JORGE;Noviembre;4330000
SAN JORGE;Diciembre;4330000
