Productos;CAcopios;Tiempo;CostoInvAcopio
Queso duro;COSTAÑERA;Enero;450
Queso duro;COSTAÑERA;Febrero;450
Queso duro;COSTAÑERA;Marzo;450
Queso duro;COSTAÑERA;Abril;450
Queso duro;COSTAÑERA;Mayo;450
Queso duro;COSTAÑERA;Junio;450
Queso duro;COSTAÑERA;Julio;450
Queso duro;COSTAÑERA;Agosto;450
Queso duro;COSTAÑERA;Septiembre;450
Queso duro;COSTAÑERA;Octubre;450
Queso duro;COSTAÑERA;Noviembre;450
Queso duro;COSTAÑERA;Diciembre;450
Queso duro;SABANAS;Enero;500
Queso duro;SABANAS;Febrero;500
Queso duro;SABANAS;Marzo;500
Queso duro;SABANAS;Abril;500
Queso duro;SABANAS;Mayo;500
Queso duro;SABANAS;Junio;500
Queso duro;SABANAS;Julio;500
Queso duro;SABANAS;Agosto;500
Queso duro;SABANAS;Septiembre;500
Queso duro;SABANAS;Octubre;500
Queso duro;SABANAS;Noviembre;500
Queso duro;SABANAS;Diciembre;500
Queso duro;SAN JORGE;Enero;550
Queso duro;SAN JORGE;Febrero;550
Queso duro;SAN JORGE;Marzo;550
Queso duro;SAN JORGE;Abril;550
Queso duro;SAN JORGE;Mayo;550
Queso duro;SAN JORGE;Junio;550
Queso duro;SAN JORGE;Julio;550
Queso duro;SAN JORGE;Agosto;550
Queso duro;SAN JORGE;Septiembre;550
Queso duro;SAN JORGE;Octubre;550
Queso duro;SAN JORGE;Noviembre;550
Queso duro;COSTAÑERA;Diciembre;550
Queso blando;COSTAÑERA;Enero;450
Queso blando;COSTAÑERA;Febrero;450
Queso blando;COSTAÑERA;Marzo;450
Queso blando;COSTAÑERA;Abril;450
Queso blando;COSTAÑERA;Mayo;450
Queso blando;COSTAÑERA;Junio;450
Queso blando;COSTAÑERA;Julio;450
Queso blando;COSTAÑERA;Agosto;450
Queso blando;COSTAÑERA;Septiembre;450
Queso blando;COSTAÑERA;Octubre;450
Queso blando;COSTAÑERA;Noviembre;450
Queso blando;SABANAS;Diciembre;450
Queso blando;SABANAS;Enero;500
Queso blando;SABANAS;Febrero;500
Queso blando;SABANAS;Marzo;500
Queso blando;SABANAS;Abril;500
Queso blando;SABANAS;Mayo;500
Queso blando;SABANAS;Junio;500
Queso blando;SABANAS;Julio;500
Queso blando;SABANAS;Agosto;500
Queso blando;SABANAS;Septiembre;500
Queso blando;SABANAS;Octubre;500
Queso blando;SABANAS;Noviembre;500
Queso blando;SAN JORGE;Diciembre;500
Queso blando;SAN JORGE;Enero;550
Queso blando;SAN JORGE;Febrero;550
Queso blando;SAN JORGE;Marzo;550
Queso blando;SAN JORGE;Abril;550
Queso blando;SAN JORGE;Mayo;550
Queso blando;SAN JORGE;Junio;550
Queso blando;SAN JORGE;Julio;550
Queso blando;SAN JORGE;Agosto;550
Queso blando;SAN JORGE;Septiembre;550
Queso blando;SAN JORGE;Octubre;550
Queso blando;SAN JORGE;Noviembre;550
Queso blando;SAN JORGE;Diciembre;550
