Productos;CAcopios;Tiempo;CapAlmacenamientoCA
Queso duro;SAN JUAN DEL CESAR;1;1000000
Queso duro;SAN JUAN DEL CESAR;2;1000000
Queso duro;SAN JUAN DEL CESAR;3;1000000
Queso duro;SAN JUAN DEL CESAR;4;1000000
Queso duro;SAN JUAN DEL CESAR;5;1000000
Queso duro;SAN JUAN DEL CESAR;6;1000000
Queso duro;SAN JUAN DEL CESAR;7;1000000
Queso duro;SAN JUAN DEL CESAR;8;1000000
Queso duro;SAN JUAN DEL CESAR;9;1000000
Queso duro;SAN JUAN DEL CESAR;10;1000000
Queso duro;SAN JUAN DEL CESAR;11;1000000
Queso duro;SAN JUAN DEL CESAR;12;1000000
Queso duro;MAICAO;1;1000000
Queso duro;MAICAO;2;1000000
Queso duro;MAICAO;3;1000000
Queso duro;MAICAO;4;1000000
Queso duro;MAICAO;5;1000000
Queso duro;MAICAO;6;1000000
Queso duro;MAICAO;7;1000000
Queso duro;MAICAO;8;1000000
Queso duro;MAICAO;9;1000000
Queso duro;MAICAO;10;1000000
Queso duro;MAICAO;11;1000000
Queso duro;MAICAO;12;1000000
Queso duro;RIOHACHA;1;1000000
Queso duro;RIOHACHA;2;1000000
Queso duro;RIOHACHA;3;1000000
Queso duro;RIOHACHA;4;1000000
Queso duro;RIOHACHA;5;1000000
Queso duro;RIOHACHA;6;1000000
Queso duro;RIOHACHA;7;1000000
Queso duro;RIOHACHA;8;1000000
Queso duro;RIOHACHA;9;1000000
Queso duro;RIOHACHA;10;1000000
Queso duro;RIOHACHA;11;1000000
Queso duro;RIOHACHA;12;1000000
Queso blando;SAN JUAN DEL CESAR;1;1000000
Queso blando;SAN JUAN DEL CESAR;2;1000000
Queso blando;SAN JUAN DEL CESAR;3;1000000
Queso blando;SAN JUAN DEL CESAR;4;1000000
Queso blando;SAN JUAN DEL CESAR;5;1000000
Queso blando;SAN JUAN DEL CESAR;6;1000000
Queso blando;SAN JUAN DEL CESAR;7;1000000
Queso blando;SAN JUAN DEL CESAR;8;1000000
Queso blando;SAN JUAN DEL CESAR;9;1000000
Queso blando;SAN JUAN DEL CESAR;10;1000000
Queso blando;SAN JUAN DEL CESAR;11;1000000
Queso blando;SAN JUAN DEL CESAR;12;1000000
Queso blando;MAICAO;1;1000000
Queso blando;MAICAO;2;1000000
Queso blando;MAICAO;3;1000000
Queso blando;MAICAO;4;1000000
Queso blando;MAICAO;5;1000000
Queso blando;MAICAO;6;1000000
Queso blando;MAICAO;7;1000000
Queso blando;MAICAO;8;1000000
Queso blando;MAICAO;9;1000000
Queso blando;MAICAO;10;1000000
Queso blando;MAICAO;11;1000000
Queso blando;MAICAO;12;1000000
Queso blando;RIOHACHA;1;1000000
Queso blando;RIOHACHA;2;1000000
Queso blando;RIOHACHA;3;1000000
Queso blando;RIOHACHA;4;1000000
Queso blando;RIOHACHA;5;1000000
Queso blando;RIOHACHA;6;1000000
Queso blando;RIOHACHA;7;1000000
Queso blando;RIOHACHA;8;1000000
Queso blando;RIOHACHA;9;1000000
Queso blando;RIOHACHA;10;1000000
Queso blando;RIOHACHA;11;1000000
Queso blando;RIOHACHA;12;1000000
