CAcopios;Tiempo;CostoFijoAcopio
SAN JUAN DEL CESAR;1;4300000
SAN JUAN DEL CESAR;2;4300000
SAN JUAN DEL CESAR;3;4300000
SAN JUAN DEL CESAR;4;4300000
SAN JUAN DEL CESAR;5;4300000
SAN JUAN DEL CESAR;6;4300000
SAN JUAN DEL CESAR;7;4300000
SAN JUAN DEL CESAR;8;4300000
SAN JUAN DEL CESAR;9;4300000
SAN JUAN DEL CESAR;10;4300000
SAN JUAN DEL CESAR;11;4300000
SAN JUAN DEL CESAR;12;4300000
MAICAO;1;4330000
MAICAO;2;4330000
MAICAO;3;4330000
MAICAO;4;4330000
MAICAO;5;4330000
MAICAO;6;4330000
MAICAO;7;4330000
MAICAO;8;4330000
MAICAO;9;4330000
MAICAO;10;4330000
MAICAO;11;4330000
MAICAO;12;4330000
RIOHACHA;1;4450000
RIOHACHA;2;4450000
RIOHACHA;3;4450000
RIOHACHA;4;4450000
RIOHACHA;5;4450000
RIOHACHA;6;4450000
RIOHACHA;7;4450000
RIOHACHA;8;4450000
RIOHACHA;9;4450000
RIOHACHA;10;4450000
RIOHACHA;11;4450000
RIOHACHA;12;4450000
