Productos;CAcopios;Tiempo;CostoVarAcopio
Queso duro;SAN JUAN DEL CESAR;1;770
Queso duro;SAN JUAN DEL CESAR;2;770
Queso duro;SAN JUAN DEL CESAR;3;770
Queso duro;SAN JUAN DEL CESAR;4;770
Queso duro;SAN JUAN DEL CESAR;5;770
Queso duro;SAN JUAN DEL CESAR;6;770
Queso duro;SAN JUAN DEL CESAR;7;770
Queso duro;SAN JUAN DEL CESAR;8;770
Queso duro;SAN JUAN DEL CESAR;9;770
Queso duro;SAN JUAN DEL CESAR;10;770
Queso duro;SAN JUAN DEL CESAR;11;770
Queso duro;SAN JUAN DEL CESAR;12;770
Queso duro;MAICAO;1;810
Queso duro;MAICAO;2;810
Queso duro;MAICAO;3;810
Queso duro;MAICAO;4;810
Queso duro;MAICAO;5;810
Queso duro;MAICAO;6;810
Queso duro;MAICAO;7;810
Queso duro;MAICAO;8;810
Queso duro;MAICAO;9;810
Queso duro;MAICAO;10;810
Queso duro;MAICAO;11;810
Queso duro;MAICAO;12;810
Queso duro;RIOHACHA;1;785
Queso duro;RIOHACHA;2;785
Queso duro;RIOHACHA;3;785
Queso duro;RIOHACHA;4;785
Queso duro;RIOHACHA;5;785
Queso duro;RIOHACHA;6;785
Queso duro;RIOHACHA;7;785
Queso duro;RIOHACHA;8;785
Queso duro;RIOHACHA;9;785
Queso duro;RIOHACHA;10;785
Queso duro;RIOHACHA;11;785
Queso duro;RIOHACHA;12;785
Queso blando;SAN JUAN DEL CESAR;1;770
Queso blando;SAN JUAN DEL CESAR;2;770
Queso blando;SAN JUAN DEL CESAR;3;770
Queso blando;SAN JUAN DEL CESAR;4;770
Queso blando;SAN JUAN DEL CESAR;5;770
Queso blando;SAN JUAN DEL CESAR;6;770
Queso blando;SAN JUAN DEL CESAR;7;770
Queso blando;SAN JUAN DEL CESAR;8;770
Queso blando;SAN JUAN DEL CESAR;9;770
Queso blando;SAN JUAN DEL CESAR;10;770
Queso blando;SAN JUAN DEL CESAR;11;770
Queso blando;SAN JUAN DEL CESAR;12;770
Queso blando;MAICAO;1;810
Queso blando;MAICAO;2;810
Queso blando;MAICAO;3;810
Queso blando;MAICAO;4;810
Queso blando;MAICAO;5;810
Queso blando;MAICAO;6;810
Queso blando;MAICAO;7;810
Queso blando;MAICAO;8;810
Queso blando;MAICAO;9;810
Queso blando;MAICAO;10;810
Queso blando;MAICAO;11;810
Queso blando;MAICAO;12;810
Queso blando;RIOHACHA;1;785
Queso blando;RIOHACHA;2;785
Queso blando;RIOHACHA;3;785
Queso blando;RIOHACHA;4;785
Queso blando;RIOHACHA;5;785
Queso blando;RIOHACHA;6;785
Queso blando;RIOHACHA;7;785
Queso blando;RIOHACHA;8;785
Queso blando;RIOHACHA;9;785
Queso blando;RIOHACHA;10;785
Queso blando;RIOHACHA;11;785
Queso blando;RIOHACHA;12;785
