Productos,CAcopios,Tiempo,InvCA
Queso duro,SAN JUAN DEL CESAR,1,0.0
Queso duro,SAN JUAN DEL CESAR,2,0.0
Queso duro,SAN JUAN DEL CESAR,3,0.0
Queso duro,SAN JUAN DEL CESAR,4,0.0
Queso duro,SAN JUAN DEL CESAR,5,0.0
Queso duro,SAN JUAN DEL CESAR,6,0.0
Queso duro,SAN JUAN DEL CESAR,7,0.0
Queso duro,SAN JUAN DEL CESAR,8,0.0
Queso duro,SAN JUAN DEL CESAR,9,0.0
Queso duro,SAN JUAN DEL CESAR,10,0.0
Queso duro,SAN JUAN DEL CESAR,11,0.0
Queso duro,SAN JUAN DEL CESAR,12,-0.0
Queso duro,MAICAO,1,0.0
Queso duro,MAICAO,2,0.0
Queso duro,MAICAO,3,0.0
Queso duro,MAICAO,4,0.0
Queso duro,MAICAO,5,0.0
Queso duro,MAICAO,6,0.0
Queso duro,MAICAO,7,0.0
Queso duro,MAICAO,8,0.0
Queso duro,MAICAO,9,0.0
Queso duro,MAICAO,10,0.0
Queso duro,MAICAO,11,0.0
Queso duro,MAICAO,12,-0.0
Queso duro,RIOHACHA,1,0.0
Queso duro,RIOHACHA,2,0.0
Queso duro,RIOHACHA,3,0.0
Queso duro,RIOHACHA,4,0.0
Queso duro,RIOHACHA,5,0.0
Queso duro,RIOHACHA,6,0.0
Queso duro,RIOHACHA,7,0.0
Queso duro,RIOHACHA,8,0.0
Queso duro,RIOHACHA,9,0.0
Queso duro,RIOHACHA,10,0.0
Queso duro,RIOHACHA,11,0.0
Queso duro,RIOHACHA,12,-0.0
Queso blando,SAN JUAN DEL CESAR,1,0.0
Queso blando,SAN JUAN DEL CESAR,2,5854.8
Queso blando,SAN JUAN DEL CESAR,3,0.0
Queso blando,SAN JUAN DEL CESAR,4,0.0
Queso blando,SAN JUAN DEL CESAR,5,0.0
Queso blando,SAN JUAN DEL CESAR,6,0.0
Queso blando,SAN JUAN DEL CESAR,7,0.0
Queso blando,SAN JUAN DEL CESAR,8,0.0
Queso blando,SAN JUAN DEL CESAR,9,0.0
Queso blando,SAN JUAN DEL CESAR,10,0.0
Queso blando,SAN JUAN DEL CESAR,11,0.0
Queso blando,SAN JUAN DEL CESAR,12,-0.0
Queso blando,MAICAO,1,0.0
Queso blando,MAICAO,2,0.0
Queso blando,MAICAO,3,0.0
Queso blando,MAICAO,4,0.0
Queso blando,MAICAO,5,0.0
Queso blando,MAICAO,6,0.0
Queso blando,MAICAO,7,0.0
Queso blando,MAICAO,8,0.0
Queso blando,MAICAO,9,0.0
Queso blando,MAICAO,10,0.0
Queso blando,MAICAO,11,0.0
Queso blando,MAICAO,12,-0.0
Queso blando,RIOHACHA,1,0.0
Queso blando,RIOHACHA,2,0.0
Queso blando,RIOHACHA,3,0.0
Queso blando,RIOHACHA,4,0.0
Queso blando,RIOHACHA,5,0.0
Queso blando,RIOHACHA,6,0.0
Queso blando,RIOHACHA,7,0.0
Queso blando,RIOHACHA,8,0.0
Queso blando,RIOHACHA,9,0.0
Queso blando,RIOHACHA,10,0.0
Queso blando,RIOHACHA,11,0.0
Queso blando,RIOHACHA,12,-0.0
