Distribution,Parameters,KS_pvalue
norm,"(1.2075342082977294, 0.32834944682081607)",0.00024153921690843724
expon,"(0.9426326751708984, 0.26490153312683096)",0.16362842185575954
lognorm,"(1.1920404243981528, 0.9353902895268211, 0.14427033807812217)",0.9857997183459594
weibull_min,"(0.8914137846013478, 0.9426326751708983, 0.2874303063159406)",0.10156215734248641
gamma,"(0.8036265279586683, 0.9426326751708983, 0.36090270827383536)",0.1925617565978237
erlang,"(0.7448627453241989, 0.942632675170235, 0.34967957996075033)",0.7405336834969496
triang,"(1.9475598780482575e-07, 0.9426321616946967, 1.7450424592112548)",7.598816627945264e-18
logistic,"(1.1441980754424947, 0.1509971920546425)",0.00027589816363384487
halfnorm,"(0.9426326638473878, 0.42198856379695526)",4.629690875363736e-07
cauchy,"(1.053252639202523, 0.09069282798307814)",0.00011238173064998258
