Productos;CAcopios;Tiempo;CapAlmacenamientoCA
Queso duro;San Juan del Cesar;1;30000
Queso duro;San Juan del Cesar;2;30000
Queso duro;San Juan del Cesar;3;30000
Queso duro;San Juan del Cesar;4;30000
Queso duro;San Juan del Cesar;5;30000
Queso duro;San Juan del Cesar;6;30000
Queso duro;San Juan del Cesar;7;30000
Queso duro;San Juan del Cesar;8;30000
Queso duro;San Juan del Cesar;9;30000
Queso duro;San Juan del Cesar;10;30000
Queso duro;San Juan del Cesar;11;30000
Queso duro;San Juan del Cesar;12;30000
Queso duro;Riohacha;1;30000
Queso duro;Riohacha;2;30000
Queso duro;Riohacha;3;30000
Queso duro;Riohacha;4;30000
Queso duro;Riohacha;5;30000
Queso duro;Riohacha;6;30000
Queso duro;Riohacha;7;30000
Queso duro;Riohacha;8;30000
Queso duro;Riohacha;9;30000
Queso duro;Riohacha;10;30000
Queso duro;Riohacha;11;30000
Queso duro;Riohacha;12;30000
Queso duro;Maicao;1;30000
Queso duro;Maicao;2;30000
Queso duro;Maicao;3;30000
Queso duro;Maicao;4;30000
Queso duro;Maicao;5;30000
Queso duro;Maicao;6;30000
Queso duro;Maicao;7;30000
Queso duro;Maicao;8;30000
Queso duro;Maicao;9;30000
Queso duro;Maicao;10;30000
Queso duro;Maicao;11;30000
Queso duro;Maicao;12;30000
Queso blando;San Juan del Cesar;1;30000
Queso blando;San Juan del Cesar;2;30000
Queso blando;San Juan del Cesar;3;30000
Queso blando;San Juan del Cesar;4;30000
Queso blando;San Juan del Cesar;5;30000
Queso blando;San Juan del Cesar;6;30000
Queso blando;San Juan del Cesar;7;30000
Queso blando;San Juan del Cesar;8;30000
Queso blando;San Juan del Cesar;9;30000
Queso blando;San Juan del Cesar;10;30000
Queso blando;San Juan del Cesar;11;30000
Queso blando;San Juan del Cesar;12;30000
Queso blando;Riohacha;1;30000
Queso blando;Riohacha;2;30000
Queso blando;Riohacha;3;30000
Queso blando;Riohacha;4;30000
Queso blando;Riohacha;5;30000
Queso blando;Riohacha;6;30000
Queso blando;Riohacha;7;30000
Queso blando;Riohacha;8;30000
Queso blando;Riohacha;9;30000
Queso blando;Riohacha;10;30000
Queso blando;Riohacha;11;30000
Queso blando;Riohacha;12;30000
Queso blando;Maicao;1;30000
Queso blando;Maicao;2;30000
Queso blando;Maicao;3;30000
Queso blando;Maicao;4;30000
Queso blando;Maicao;5;30000
Queso blando;Maicao;6;30000
Queso blando;Maicao;7;30000
Queso blando;Maicao;8;30000
Queso blando;Maicao;9;30000
Queso blando;Maicao;10;30000
Queso blando;Maicao;11;30000
Queso blando;Maicao;12;30000
