CAcopios;Tiempo;CostoFijoAcopio
San Juan del Cesar;1;4300000
San Juan del Cesar;2;4300000
San Juan del Cesar;3;4300000
San Juan del Cesar;4;4300000
San Juan del Cesar;5;4300000
San Juan del Cesar;6;4300000
San Juan del Cesar;7;4300000
San Juan del Cesar;8;4300000
San Juan del Cesar;9;4300000
San Juan del Cesar;10;4300000
San Juan del Cesar;11;4300000
San Juan del Cesar;12;4300000
Riohacha;1;4450000
Riohacha;2;4450000
Riohacha;3;4450000
Riohacha;4;4450000
Riohacha;5;4450000
Riohacha;6;4450000
Riohacha;7;4450000
Riohacha;8;4450000
Riohacha;9;4450000
Riohacha;10;4450000
Riohacha;11;4450000
Riohacha;12;4450000
Maicao;1;4330000
Maicao;2;4330000
Maicao;3;4330000
Maicao;4;4330000
Maicao;5;4330000
Maicao;6;4330000
Maicao;7;4330000
Maicao;8;4330000
Maicao;9;4330000
Maicao;10;4330000
Maicao;11;4330000
Maicao;12;4330000
