Productos;CAcopios;Tiempo;CostoInvAcopio
Queso duro;San Juan del Cesar;1;450
Queso duro;San Juan del Cesar;2;450
Queso duro;San Juan del Cesar;3;450
Queso duro;San Juan del Cesar;4;450
Queso duro;San Juan del Cesar;5;450
Queso duro;San Juan del Cesar;6;450
Queso duro;San Juan del Cesar;7;450
Queso duro;San Juan del Cesar;8;450
Queso duro;San Juan del Cesar;9;450
Queso duro;San Juan del Cesar;10;450
Queso duro;San Juan del Cesar;11;450
Queso duro;San Juan del Cesar;12;450
Queso duro;Riohacha;1;500
Queso duro;Riohacha;2;500
Queso duro;Riohacha;3;500
Queso duro;Riohacha;4;500
Queso duro;Riohacha;5;500
Queso duro;Riohacha;6;500
Queso duro;Riohacha;7;500
Queso duro;Riohacha;8;500
Queso duro;Riohacha;9;500
Queso duro;Riohacha;10;500
Queso duro;Riohacha;11;500
Queso duro;Riohacha;12;500
Queso duro;Maicao;1;550
Queso duro;Maicao;2;550
Queso duro;Maicao;3;550
Queso duro;Maicao;4;550
Queso duro;Maicao;5;550
Queso duro;Maicao;6;550
Queso duro;Maicao;7;550
Queso duro;Maicao;8;550
Queso duro;Maicao;9;550
Queso duro;Maicao;10;550
Queso duro;Maicao;11;550
Queso duro;Maicao;12;550
Queso blando;San Juan del Cesar;1;450
Queso blando;San Juan del Cesar;2;450
Queso blando;San Juan del Cesar;3;450
Queso blando;San Juan del Cesar;4;450
Queso blando;San Juan del Cesar;5;450
Queso blando;San Juan del Cesar;6;450
Queso blando;San Juan del Cesar;7;450
Queso blando;San Juan del Cesar;8;450
Queso blando;San Juan del Cesar;9;450
Queso blando;San Juan del Cesar;10;450
Queso blando;San Juan del Cesar;11;450
Queso blando;San Juan del Cesar;12;450
Queso blando;Riohacha;1;500
Queso blando;Riohacha;2;500
Queso blando;Riohacha;3;500
Queso blando;Riohacha;4;500
Queso blando;Riohacha;5;500
Queso blando;Riohacha;6;500
Queso blando;Riohacha;7;500
Queso blando;Riohacha;8;500
Queso blando;Riohacha;9;500
Queso blando;Riohacha;10;500
Queso blando;Riohacha;11;500
Queso blando;Riohacha;12;500
Queso blando;Maicao;1;550
Queso blando;Maicao;2;550
Queso blando;Maicao;3;550
Queso blando;Maicao;4;550
Queso blando;Maicao;5;550
Queso blando;Maicao;6;550
Queso blando;Maicao;7;550
Queso blando;Maicao;8;550
Queso blando;Maicao;9;550
Queso blando;Maicao;10;550
Queso blando;Maicao;11;550
Queso blando;Maicao;12;550
