Productos;CAcopios;Tiempo;CostoVarAcopio
Queso duro;San Juan del Cesar;1;770
Queso duro;San Juan del Cesar;2;770
Queso duro;San Juan del Cesar;3;770
Queso duro;San Juan del Cesar;4;770
Queso duro;San Juan del Cesar;5;770
Queso duro;San Juan del Cesar;6;770
Queso duro;San Juan del Cesar;7;770
Queso duro;San Juan del Cesar;8;770
Queso duro;San Juan del Cesar;9;770
Queso duro;San Juan del Cesar;10;770
Queso duro;San Juan del Cesar;11;770
Queso duro;San Juan del Cesar;12;770
Queso duro;Riohacha;1;810
Queso duro;Riohacha;2;810
Queso duro;Riohacha;3;810
Queso duro;Riohacha;4;810
Queso duro;Riohacha;5;810
Queso duro;Riohacha;6;810
Queso duro;Riohacha;7;810
Queso duro;Riohacha;8;810
Queso duro;Riohacha;9;810
Queso duro;Riohacha;10;810
Queso duro;Riohacha;11;810
Queso duro;Riohacha;12;810
Queso duro;Maicao;1;785
Queso duro;Maicao;2;785
Queso duro;Maicao;3;785
Queso duro;Maicao;4;785
Queso duro;Maicao;5;785
Queso duro;Maicao;6;785
Queso duro;Maicao;7;785
Queso duro;Maicao;8;785
Queso duro;Maicao;9;785
Queso duro;Maicao;10;785
Queso duro;Maicao;11;785
Queso duro;Maicao;12;785
Queso blando;San Juan del Cesar;1;770
Queso blando;San Juan del Cesar;2;770
Queso blando;San Juan del Cesar;3;770
Queso blando;San Juan del Cesar;4;770
Queso blando;San Juan del Cesar;5;770
Queso blando;San Juan del Cesar;6;770
Queso blando;San Juan del Cesar;7;770
Queso blando;San Juan del Cesar;8;770
Queso blando;San Juan del Cesar;9;770
Queso blando;San Juan del Cesar;10;770
Queso blando;San Juan del Cesar;11;770
Queso blando;San Juan del Cesar;12;770
Queso blando;Riohacha;1;810
Queso blando;Riohacha;2;810
Queso blando;Riohacha;3;810
Queso blando;Riohacha;4;810
Queso blando;Riohacha;5;810
Queso blando;Riohacha;6;810
Queso blando;Riohacha;7;810
Queso blando;Riohacha;8;810
Queso blando;Riohacha;9;810
Queso blando;Riohacha;10;810
Queso blando;Riohacha;11;810
Queso blando;Riohacha;12;810
Queso blando;Maicao;1;785
Queso blando;Maicao;2;785
Queso blando;Maicao;3;785
Queso blando;Maicao;4;785
Queso blando;Maicao;5;785
Queso blando;Maicao;6;785
Queso blando;Maicao;7;785
Queso blando;Maicao;8;785
Queso blando;Maicao;9;785
Queso blando;Maicao;10;785
Queso blando;Maicao;11;785
Queso blando;Maicao;12;785
