Productos,CAcopios,Tiempo,InvCA
Queso duro,San Juan del Cesar,1,0.0
Queso duro,San Juan del Cesar,2,0.0
Queso duro,San Juan del Cesar,3,0.0
Queso duro,San Juan del Cesar,4,0.0
Queso duro,San Juan del Cesar,5,0.0
Queso duro,San Juan del Cesar,6,0.0
Queso duro,San Juan del Cesar,7,0.0
Queso duro,San Juan del Cesar,8,0.0
Queso duro,San Juan del Cesar,9,0.0
Queso duro,San Juan del Cesar,10,0.0
Queso duro,San Juan del Cesar,11,0.0
Queso duro,San Juan del Cesar,12,-0.0
Queso duro,Riohacha,1,0.0
Queso duro,Riohacha,2,0.0
Queso duro,Riohacha,3,0.0
Queso duro,Riohacha,4,0.0
Queso duro,Riohacha,5,0.0
Queso duro,Riohacha,6,0.0
Queso duro,Riohacha,7,0.0
Queso duro,Riohacha,8,0.0
Queso duro,Riohacha,9,0.0
Queso duro,Riohacha,10,0.0
Queso duro,Riohacha,11,0.0
Queso duro,Riohacha,12,-0.0
Queso duro,Maicao,1,0.0
Queso duro,Maicao,2,0.0
Queso duro,Maicao,3,0.0
Queso duro,Maicao,4,0.0
Queso duro,Maicao,5,0.0
Queso duro,Maicao,6,0.0
Queso duro,Maicao,7,0.0
Queso duro,Maicao,8,0.0
Queso duro,Maicao,9,0.0
Queso duro,Maicao,10,0.0
Queso duro,Maicao,11,0.0
Queso duro,Maicao,12,-0.0
Queso blando,San Juan del Cesar,1,0.0
Queso blando,San Juan del Cesar,2,0.0
Queso blando,San Juan del Cesar,3,0.0
Queso blando,San Juan del Cesar,4,0.0
Queso blando,San Juan del Cesar,5,0.0
Queso blando,San Juan del Cesar,6,0.0
Queso blando,San Juan del Cesar,7,0.0
Queso blando,San Juan del Cesar,8,0.0
Queso blando,San Juan del Cesar,9,0.0
Queso blando,San Juan del Cesar,10,0.0
Queso blando,San Juan del Cesar,11,0.0
Queso blando,San Juan del Cesar,12,-0.0
Queso blando,Riohacha,1,0.0
Queso blando,Riohacha,2,0.0
Queso blando,Riohacha,3,0.0
Queso blando,Riohacha,4,0.0
Queso blando,Riohacha,5,0.0
Queso blando,Riohacha,6,0.0
Queso blando,Riohacha,7,0.0
Queso blando,Riohacha,8,0.0
Queso blando,Riohacha,9,0.0
Queso blando,Riohacha,10,0.0
Queso blando,Riohacha,11,0.0
Queso blando,Riohacha,12,-0.0
Queso blando,Maicao,1,0.0
Queso blando,Maicao,2,0.0
Queso blando,Maicao,3,0.0
Queso blando,Maicao,4,0.0
Queso blando,Maicao,5,0.0
Queso blando,Maicao,6,0.0
Queso blando,Maicao,7,0.0
Queso blando,Maicao,8,0.0
Queso blando,Maicao,9,0.0
Queso blando,Maicao,10,0.0
Queso blando,Maicao,11,0.0
Queso blando,Maicao,12,-0.0
