Distribution,Parameters,KS_pvalue
norm,"(234.63849297364553, 49.735166011803486)",0.13324743766816105
expon,"(168.0087707042694, 66.62972226937612)",0.24122033214423277
lognorm,"(0.5176538217954479, 137.79982996042853, 85.06468188078632)",0.8195864411243
weibull_min,"(1.3221333161942999, 166.54657671403197, 73.67581419043682)",0.830866630645679
gamma,"(1.6051691298686859, 165.32893952394167, 43.178938936374365)",0.7305753463175682
erlang,"(1.605169120211654, 165.32893823792358, 43.178969283400534)",0.7305779467251052
triang,"(8.589962025202316e-13, 165.48991437246121, 245.43671935436487)",0.14106562814065515
logistic,"(229.69648310070994, 27.566359006615883)",0.3023744340341533
halfnorm,"(168.0087707021047, 83.14129582869057)",0.7082929956835917
cauchy,"(218.90971348737776, 24.419527581686417)",0.39423239033328905
