Productos;CAcopios;Tiempo;CapAlmacenamientoCA
Queso duro;GUAMAL;1;1000000
Queso duro;GUAMAL;2;1000000
Queso duro;GUAMAL;3;1000000
Queso duro;GUAMAL;4;1000000
Queso duro;GUAMAL;5;1000000
Queso duro;GUAMAL;6;1000000
Queso duro;GUAMAL;7;1000000
Queso duro;GUAMAL;8;1000000
Queso duro;GUAMAL;9;1000000
Queso duro;GUAMAL;10;1000000
Queso duro;GUAMAL;11;1000000
Queso duro;GUAMAL;12;1000000
Queso duro;PIVIJAY;1;1000000
Queso duro;PIVIJAY;2;1000000
Queso duro;PIVIJAY;3;1000000
Queso duro;PIVIJAY;4;1000000
Queso duro;PIVIJAY;5;1000000
Queso duro;PIVIJAY;6;1000000
Queso duro;PIVIJAY;7;1000000
Queso duro;PIVIJAY;8;1000000
Queso duro;PIVIJAY;9;1000000
Queso duro;PIVIJAY;10;1000000
Queso duro;PIVIJAY;11;1000000
Queso duro;PIVIJAY;12;1000000
Queso duro;NUEVA GRANADA;1;1000000
Queso duro;NUEVA GRANADA;2;1000000
Queso duro;NUEVA GRANADA;3;1000000
Queso duro;NUEVA GRANADA;4;1000000
Queso duro;NUEVA GRANADA;5;1000000
Queso duro;NUEVA GRANADA;6;1000000
Queso duro;NUEVA GRANADA;7;1000000
Queso duro;NUEVA GRANADA;8;1000000
Queso duro;NUEVA GRANADA;9;1000000
Queso duro;NUEVA GRANADA;10;1000000
Queso duro;NUEVA GRANADA;11;1000000
Queso duro;NUEVA GRANADA;12;1000000
Queso blando;GUAMAL;1;1000000
Queso blando;GUAMAL;2;1000000
Queso blando;GUAMAL;3;1000000
Queso blando;GUAMAL;4;1000000
Queso blando;GUAMAL;5;1000000
Queso blando;GUAMAL;6;1000000
Queso blando;GUAMAL;7;1000000
Queso blando;GUAMAL;8;1000000
Queso blando;GUAMAL;9;1000000
Queso blando;GUAMAL;10;1000000
Queso blando;GUAMAL;11;1000000
Queso blando;GUAMAL;12;1000000
Queso blando;PIVIJAY;1;1000000
Queso blando;PIVIJAY;2;1000000
Queso blando;PIVIJAY;3;1000000
Queso blando;PIVIJAY;4;1000000
Queso blando;PIVIJAY;5;1000000
Queso blando;PIVIJAY;6;1000000
Queso blando;PIVIJAY;7;1000000
Queso blando;PIVIJAY;8;1000000
Queso blando;PIVIJAY;9;1000000
Queso blando;PIVIJAY;10;1000000
Queso blando;PIVIJAY;11;1000000
Queso blando;PIVIJAY;12;1000000
Queso blando;NUEVA GRANADA;1;1000000
Queso blando;NUEVA GRANADA;2;1000000
Queso blando;NUEVA GRANADA;3;1000000
Queso blando;NUEVA GRANADA;4;1000000
Queso blando;NUEVA GRANADA;5;1000000
Queso blando;NUEVA GRANADA;6;1000000
Queso blando;NUEVA GRANADA;7;1000000
Queso blando;NUEVA GRANADA;8;1000000
Queso blando;NUEVA GRANADA;9;1000000
Queso blando;NUEVA GRANADA;10;1000000
Queso blando;NUEVA GRANADA;11;1000000
Queso blando;NUEVA GRANADA;12;1000000
