Productos,Tiempo,DInsatisfecha
Queso duro,1,619.0
Queso duro,2,57141.4875
Queso duro,3,71442.94
Queso duro,4,70027.561
Queso duro,5,70431.955
Queso duro,6,69656.8665
Queso duro,7,69589.4675
Queso duro,8,72656.122
Queso duro,9,71105.945
Queso duro,10,72386.526
Queso duro,11,73835.6045
Queso duro,12,75318.3825
Queso blando,1,1181.0
Queso blando,2,28435.2
Queso blando,3,35548.16
Queso blando,4,34843.904
Queso blando,5,35045.12
Queso blando,6,34659.456
Queso blando,7,34625.92
Queso blando,8,36151.808
Queso blando,9,35380.48
Queso blando,10,36017.664
Queso blando,11,36738.688
Queso blando,12,37476.48
