Productos,CAcopios,Tiempo,InvCA
Queso duro,GUAMAL,1,0.0
Queso duro,GUAMAL,2,0.0
Queso duro,GUAMAL,3,0.0
Queso duro,GUAMAL,4,0.0
Queso duro,GUAMAL,5,0.0
Queso duro,GUAMAL,6,0.0
Queso duro,GUAMAL,7,0.0
Queso duro,GUAMAL,8,0.0
Queso duro,GUAMAL,9,0.0
Queso duro,GUAMAL,10,0.0
Queso duro,GUAMAL,11,0.0
Queso duro,GUAMAL,12,-0.0
Queso duro,PIVIJAY,1,0.0
Queso duro,PIVIJAY,2,0.0
Queso duro,PIVIJAY,3,0.0
Queso duro,PIVIJAY,4,0.0
Queso duro,PIVIJAY,5,0.0
Queso duro,PIVIJAY,6,0.0
Queso duro,PIVIJAY,7,0.0
Queso duro,PIVIJAY,8,0.0
Queso duro,PIVIJAY,9,0.0
Queso duro,PIVIJAY,10,0.0
Queso duro,PIVIJAY,11,0.0
Queso duro,PIVIJAY,12,-0.0
Queso duro,NUEVA GRANADA,1,0.0
Queso duro,NUEVA GRANADA,2,0.0
Queso duro,NUEVA GRANADA,3,0.0
Queso duro,NUEVA GRANADA,4,0.0
Queso duro,NUEVA GRANADA,5,0.0
Queso duro,NUEVA GRANADA,6,0.0
Queso duro,NUEVA GRANADA,7,0.0
Queso duro,NUEVA GRANADA,8,0.0
Queso duro,NUEVA GRANADA,9,0.0
Queso duro,NUEVA GRANADA,10,0.0
Queso duro,NUEVA GRANADA,11,0.0
Queso duro,NUEVA GRANADA,12,-0.0
Queso blando,GUAMAL,1,0.0
Queso blando,GUAMAL,2,0.0
Queso blando,GUAMAL,3,0.0
Queso blando,GUAMAL,4,0.0
Queso blando,GUAMAL,5,0.0
Queso blando,GUAMAL,6,0.0
Queso blando,GUAMAL,7,0.0
Queso blando,GUAMAL,8,0.0
Queso blando,GUAMAL,9,0.0
Queso blando,GUAMAL,10,0.0
Queso blando,GUAMAL,11,0.0
Queso blando,GUAMAL,12,-0.0
Queso blando,PIVIJAY,1,0.0
Queso blando,PIVIJAY,2,0.0
Queso blando,PIVIJAY,3,0.0
Queso blando,PIVIJAY,4,0.0
Queso blando,PIVIJAY,5,0.0
Queso blando,PIVIJAY,6,0.0
Queso blando,PIVIJAY,7,0.0
Queso blando,PIVIJAY,8,0.0
Queso blando,PIVIJAY,9,0.0
Queso blando,PIVIJAY,10,0.0
Queso blando,PIVIJAY,11,0.0
Queso blando,PIVIJAY,12,-0.0
Queso blando,NUEVA GRANADA,1,0.0
Queso blando,NUEVA GRANADA,2,0.0
Queso blando,NUEVA GRANADA,3,0.0
Queso blando,NUEVA GRANADA,4,0.0
Queso blando,NUEVA GRANADA,5,0.0
Queso blando,NUEVA GRANADA,6,0.0
Queso blando,NUEVA GRANADA,7,0.0
Queso blando,NUEVA GRANADA,8,0.0
Queso blando,NUEVA GRANADA,9,0.0
Queso blando,NUEVA GRANADA,10,0.0
Queso blando,NUEVA GRANADA,11,0.0
Queso blando,NUEVA GRANADA,12,-0.0
