Distribution,Parameters,KS_pvalue
norm,"(0.9811326408386231, 0.1442152802215407)",0.0375884082961464
expon,"(0.817556619644165, 0.16357602119445802)",0.2508921308149865
lognorm,"(0.9660731048518154, 0.8062806676995923, 0.11739042569772301)",0.12143075283352223
weibull_min,"(1.0312618694850066, 0.8174790333379325, 0.16556885758544265)",0.2544367475812518
gamma,"(0.8402260664473455, 0.8175566196441648, 0.18782583300280273)",0.1443714518124255
erlang,"(0.9496128707006766, 0.8175566196441649, 0.17204878081663927)",0.24984402840215814
triang,"(0.03623017439344868, 0.8086182286036928, 0.6964261858681948)",0.0001620521339914484
logistic,"(0.9648425342355852, 0.07997281899897914)",0.031699277171721496
halfnorm,"(0.8175565927167959, 0.21806204125305417)",0.020153286081815658
cauchy,"(0.9286440768079235, 0.08430225720003195)",0.00022399439638852477
