Productos;CAcopios;Tiempo;CapAlmacenamientoCA
Queso duro;Guamal;1;50000
Queso duro;Guamal;2;50000
Queso duro;Guamal;3;50000
Queso duro;Guamal;4;50000
Queso duro;Guamal;5;50000
Queso duro;Guamal;6;50000
Queso duro;Guamal;7;50000
Queso duro;Guamal;8;50000
Queso duro;Guamal;9;50000
Queso duro;Guamal;10;50000
Queso duro;Guamal;11;50000
Queso duro;Guamal;12;50000
Queso blando;Guamal;1;50000
Queso blando;Guamal;2;50000
Queso blando;Guamal;3;50000
Queso blando;Guamal;4;50000
Queso blando;Guamal;5;50000
Queso blando;Guamal;6;50000
Queso blando;Guamal;7;50000
Queso blando;Guamal;8;50000
Queso blando;Guamal;9;50000
Queso blando;Guamal;10;50000
Queso blando;Guamal;11;50000
Queso blando;Guamal;12;50000
Queso duro;Pivijay;1;50000
Queso duro;Pivijay;2;50000
Queso duro;Pivijay;3;50000
Queso duro;Pivijay;4;50000
Queso duro;Pivijay;5;50000
Queso duro;Pivijay;6;50000
Queso duro;Pivijay;7;50000
Queso duro;Pivijay;8;50000
Queso duro;Pivijay;9;50000
Queso duro;Pivijay;10;50000
Queso duro;Pivijay;11;50000
Queso duro;Pivijay;12;50000
Queso blando;Pivijay;1;50000
Queso blando;Pivijay;2;50000
Queso blando;Pivijay;3;50000
Queso blando;Pivijay;4;50000
Queso blando;Pivijay;5;50000
Queso blando;Pivijay;6;50000
Queso blando;Pivijay;7;50000
Queso blando;Pivijay;8;50000
Queso blando;Pivijay;9;50000
Queso blando;Pivijay;10;50000
Queso blando;Pivijay;11;50000
Queso blando;Pivijay;12;50000
Queso duro;Nueva granada;1;50000
Queso duro;Nueva granada;2;50000
Queso duro;Nueva granada;3;50000
Queso duro;Nueva granada;4;50000
Queso duro;Nueva granada;5;50000
Queso duro;Nueva granada;6;50000
Queso duro;Nueva granada;7;50000
Queso duro;Nueva granada;8;50000
Queso duro;Nueva granada;9;50000
Queso duro;Nueva granada;10;50000
Queso duro;Nueva granada;11;50000
Queso duro;Nueva granada;12;50000
Queso blando;Nueva granada;1;50000
Queso blando;Nueva granada;2;50000
Queso blando;Nueva granada;3;50000
Queso blando;Nueva granada;4;50000
Queso blando;Nueva granada;5;50000
Queso blando;Nueva granada;6;50000
Queso blando;Nueva granada;7;50000
Queso blando;Nueva granada;8;50000
Queso blando;Nueva granada;9;50000
Queso blando;Nueva granada;10;50000
Queso blando;Nueva granada;11;50000
Queso blando;Nueva granada;12;50000
