CAcopios;Tiempo;CostoFijoAcopio
Guamal;1;4300000
Guamal;2;4300000
Guamal;3;4300000
Guamal;4;4300000
Guamal;5;4300000
Guamal;6;4300000
Guamal;7;4300000
Guamal;8;4300000
Guamal;9;4300000
Guamal;10;4300000
Guamal;11;4300000
Guamal;12;4300000
Pivijay;1;4450000
Pivijay;2;4450000
Pivijay;3;4450000
Pivijay;4;4450000
Pivijay;5;4450000
Pivijay;6;4450000
Pivijay;7;4450000
Pivijay;8;4450000
Pivijay;9;4450000
Pivijay;10;4450000
Pivijay;11;4450000
Pivijay;12;4450000
Nueva granada;1;4330000
Nueva granada;2;4330000
Nueva granada;3;4330000
Nueva granada;4;4330000
Nueva granada;5;4330000
Nueva granada;6;4330000
Nueva granada;7;4330000
Nueva granada;8;4330000
Nueva granada;9;4330000
Nueva granada;10;4330000
Nueva granada;11;4330000
Nueva granada;12;4330000
