Productos;CAcopios;Tiempo;CostoInvAcopio
Queso duro;Guamal;1;450
Queso duro;Guamal;2;450
Queso duro;Guamal;3;450
Queso duro;Guamal;4;450
Queso duro;Guamal;5;450
Queso duro;Guamal;6;450
Queso duro;Guamal;7;450
Queso duro;Guamal;8;450
Queso duro;Guamal;9;450
Queso duro;Guamal;10;450
Queso duro;Guamal;11;450
Queso duro;Guamal;12;450
Queso duro;Pivijay;1;500
Queso duro;Pivijay;2;500
Queso duro;Pivijay;3;500
Queso duro;Pivijay;4;500
Queso duro;Pivijay;5;500
Queso duro;Pivijay;6;500
Queso duro;Pivijay;7;500
Queso duro;Pivijay;8;500
Queso duro;Pivijay;9;500
Queso duro;Pivijay;10;500
Queso duro;Pivijay;11;500
Queso duro;Pivijay;12;500
Queso duro;Nueva granada;1;550
Queso duro;Nueva granada;2;550
Queso duro;Nueva granada;3;550
Queso duro;Nueva granada;4;550
Queso duro;Nueva granada;5;550
Queso duro;Nueva granada;6;550
Queso duro;Nueva granada;7;550
Queso duro;Nueva granada;8;550
Queso duro;Nueva granada;9;550
Queso duro;Nueva granada;10;550
Queso duro;Nueva granada;11;550
Queso duro;Nueva granada;12;550
Queso blando;Guamal;1;450
Queso blando;Guamal;2;450
Queso blando;Guamal;3;450
Queso blando;Guamal;4;450
Queso blando;Guamal;5;450
Queso blando;Guamal;6;450
Queso blando;Guamal;7;450
Queso blando;Guamal;8;450
Queso blando;Guamal;9;450
Queso blando;Guamal;10;450
Queso blando;Guamal;11;450
Queso blando;Guamal;12;450
Queso blando;Pivijay;1;500
Queso blando;Pivijay;2;500
Queso blando;Pivijay;3;500
Queso blando;Pivijay;4;500
Queso blando;Pivijay;5;500
Queso blando;Pivijay;6;500
Queso blando;Pivijay;7;500
Queso blando;Pivijay;8;500
Queso blando;Pivijay;9;500
Queso blando;Pivijay;10;500
Queso blando;Pivijay;11;500
Queso blando;Pivijay;12;500
Queso blando;Nueva granada;1;550
Queso blando;Nueva granada;2;550
Queso blando;Nueva granada;3;550
Queso blando;Nueva granada;4;550
Queso blando;Nueva granada;5;550
Queso blando;Nueva granada;6;550
Queso blando;Nueva granada;7;550
Queso blando;Nueva granada;8;550
Queso blando;Nueva granada;9;550
Queso blando;Nueva granada;10;550
Queso blando;Nueva granada;11;550
Queso blando;Nueva granada;12;550
