Productos;CAcopios;Clientes;Tiempo;CostoTransAcopioClie
Queso duro;Guamal;Santa Marta;1;481,25
Queso duro;Guamal;Santa Marta;2;481,25
Queso duro;Guamal;Santa Marta;3;481,25
Queso duro;Guamal;Santa Marta;4;481,25
Queso duro;Guamal;Santa Marta;5;481,25
Queso duro;Guamal;Santa Marta;6;481,25
Queso duro;Guamal;Santa Marta;7;481,25
Queso duro;Guamal;Santa Marta;8;481,25
Queso duro;Guamal;Santa Marta;9;481,25
Queso duro;Guamal;Santa Marta;10;481,25
Queso duro;Guamal;Santa Marta;11;481,25
Queso duro;Guamal;Santa Marta;12;481,25
Queso duro;Guamal;Riohacha;1;259
Queso duro;Guamal;Riohacha;2;259
Queso duro;Guamal;Riohacha;3;259
Queso duro;Guamal;Riohacha;4;259
Queso duro;Guamal;Riohacha;5;259
Queso duro;Guamal;Riohacha;6;259
Queso duro;Guamal;Riohacha;7;259
Queso duro;Guamal;Riohacha;8;259
Queso duro;Guamal;Riohacha;9;259
Queso duro;Guamal;Riohacha;10;259
Queso duro;Guamal;Riohacha;11;259
Queso duro;Guamal;Riohacha;12;259
Queso duro;Guamal;Monteria;1;397,25
Queso duro;Guamal;Monteria;2;397,25
Queso duro;Guamal;Monteria;3;397,25
Queso duro;Guamal;Monteria;4;397,25
Queso duro;Guamal;Monteria;5;397,25
Queso duro;Guamal;Monteria;6;397,25
Queso duro;Guamal;Monteria;7;397,25
Queso duro;Guamal;Monteria;8;397,25
Queso duro;Guamal;Monteria;9;397,25
Queso duro;Guamal;Monteria;10;397,25
Queso duro;Guamal;Monteria;11;397,25
Queso duro;Guamal;Monteria;12;397,25
Queso duro;Guamal;Barranquilla;1;684,25
Queso duro;Guamal;Barranquilla;2;684,25
Queso duro;Guamal;Barranquilla;3;684,25
Queso duro;Guamal;Barranquilla;4;684,25
Queso duro;Guamal;Barranquilla;5;684,25
Queso duro;Guamal;Barranquilla;6;684,25
Queso duro;Guamal;Barranquilla;7;684,25
Queso duro;Guamal;Barranquilla;8;684,25
Queso duro;Guamal;Barranquilla;9;684,25
Queso duro;Guamal;Barranquilla;10;684,25
Queso duro;Guamal;Barranquilla;11;684,25
Queso duro;Guamal;Barranquilla;12;684,25
Queso duro;Guamal;Bogotá;1;546
Queso duro;Guamal;Bogotá;2;546
Queso duro;Guamal;Bogotá;3;546
Queso duro;Guamal;Bogotá;4;546
Queso duro;Guamal;Bogotá;5;546
Queso duro;Guamal;Bogotá;6;546
Queso duro;Guamal;Bogotá;7;546
Queso duro;Guamal;Bogotá;8;546
Queso duro;Guamal;Bogotá;9;546
Queso duro;Guamal;Bogotá;10;546
Queso duro;Guamal;Bogotá;11;546
Queso duro;Guamal;Bogotá;12;546
Queso duro;Guamal;Bucaramanga;1;684,25
Queso duro;Guamal;Bucaramanga;2;684,25
Queso duro;Guamal;Bucaramanga;3;684,25
Queso duro;Guamal;Bucaramanga;4;684,25
Queso duro;Guamal;Bucaramanga;5;684,25
Queso duro;Guamal;Bucaramanga;6;684,25
Queso duro;Guamal;Bucaramanga;7;684,25
Queso duro;Guamal;Bucaramanga;8;684,25
Queso duro;Guamal;Bucaramanga;9;684,25
Queso duro;Guamal;Bucaramanga;10;684,25
Queso duro;Guamal;Bucaramanga;11;684,25
Queso duro;Guamal;Bucaramanga;12;684,25
Queso duro;Guamal;Cartagena;1;539
Queso duro;Guamal;Cartagena;2;539
Queso duro;Guamal;Cartagena;3;539
Queso duro;Guamal;Cartagena;4;539
Queso duro;Guamal;Cartagena;5;539
Queso duro;Guamal;Cartagena;6;539
Queso duro;Guamal;Cartagena;7;539
Queso duro;Guamal;Cartagena;8;539
