Productos;CAcopios;Tiempo;CostoVarAcopio
Queso duro;Guamal;1;770
Queso duro;Guamal;2;770
Queso duro;Guamal;3;770
Queso duro;Guamal;4;770
Queso duro;Guamal;5;770
Queso duro;Guamal;6;770
Queso duro;Guamal;7;770
Queso duro;Guamal;8;770
Queso duro;Guamal;9;770
Queso duro;Guamal;10;770
Queso duro;Guamal;11;770
Queso duro;Guamal;12;770
Queso duro;Pivijay;1;810
Queso duro;Pivijay;2;810
Queso duro;Pivijay;3;810
Queso duro;Pivijay;4;810
Queso duro;Pivijay;5;810
Queso duro;Pivijay;6;810
Queso duro;Pivijay;7;810
Queso duro;Pivijay;8;810
Queso duro;Pivijay;9;810
Queso duro;Pivijay;10;810
Queso duro;Pivijay;11;810
Queso duro;Pivijay;12;810
Queso duro;Nueva granada;1;785
Queso duro;Nueva granada;2;785
Queso duro;Nueva granada;3;785
Queso duro;Nueva granada;4;785
Queso duro;Nueva granada;5;785
Queso duro;Nueva granada;6;785
Queso duro;Nueva granada;7;785
Queso duro;Nueva granada;8;785
Queso duro;Nueva granada;9;785
Queso duro;Nueva granada;10;785
Queso duro;Nueva granada;11;785
Queso duro;Nueva granada;12;785
Queso blando;Guamal;1;770
Queso blando;Guamal;2;770
Queso blando;Guamal;3;770
Queso blando;Guamal;4;770
Queso blando;Guamal;5;770
Queso blando;Guamal;6;770
Queso blando;Guamal;7;770
Queso blando;Guamal;8;770
Queso blando;Guamal;9;770
Queso blando;Guamal;10;770
Queso blando;Guamal;11;770
Queso blando;Guamal;12;770
Queso blando;Pivijay;1;810
Queso blando;Pivijay;2;810
Queso blando;Pivijay;3;810
Queso blando;Pivijay;4;810
Queso blando;Pivijay;5;810
Queso blando;Pivijay;6;810
Queso blando;Pivijay;7;810
Queso blando;Pivijay;8;810
Queso blando;Pivijay;9;810
Queso blando;Pivijay;10;810
Queso blando;Pivijay;11;810
Queso blando;Pivijay;12;810
Queso blando;Nueva granada;1;785
Queso blando;Nueva granada;2;785
Queso blando;Nueva granada;3;785
Queso blando;Nueva granada;4;785
Queso blando;Nueva granada;5;785
Queso blando;Nueva granada;6;785
Queso blando;Nueva granada;7;785
Queso blando;Nueva granada;8;785
Queso blando;Nueva granada;9;785
Queso blando;Nueva granada;10;785
Queso blando;Nueva granada;11;785
Queso blando;Nueva granada;12;785
