Productos;Tiempo;Precio
Queso duro;1;19250
Queso duro;2;19698,525
Queso duro;3;19972,99112
Queso duro;4;20185,37059
Queso duro;5;20223,04995
Queso duro;6;20345,06235
Queso duro;7;20492,22496
Queso duro;8;20639,08591
Queso duro;9;20799,38281
Queso duro;10;20917,24598
Queso duro;11;21191,2619
Queso duro;12;21682,89918
Queso blando;1;19500
Queso blando;2;19954,35
Queso blando;3;20232,38061
Queso blando;4;20447,51826
Queso blando;5;20485,68696
Queso blando;6;20609,28394
Queso blando;7;20758,35776
Queso blando;8;20907,12599
Queso blando;9;21069,50467
Queso blando;10;21188,89853
Queso blando;11;21466,4731
Queso blando;12;21964,49527
