Productos,CAcopios,Clientes,Tiempo,AC
Queso duro,Guamal,Santa Marta,1,0.0
Queso duro,Guamal,Santa Marta,2,0.0
Queso duro,Guamal,Santa Marta,3,0.0
Queso duro,Guamal,Santa Marta,4,0.0
Queso duro,Guamal,Santa Marta,5,0.0
Queso duro,Guamal,Santa Marta,6,0.0
Queso duro,Guamal,Santa Marta,7,0.0
Queso duro,Guamal,Santa Marta,8,0.0
Queso duro,Guamal,Santa Marta,9,0.0
Queso duro,Guamal,Santa Marta,10,0.0
Queso duro,Guamal,Santa Marta,11,0.0
Queso duro,Guamal,Santa Marta,12,0.0
Queso duro,Guamal,Riohacha,1,0.0
Queso duro,Guamal,Riohacha,2,0.0
Queso duro,Guamal,Riohacha,3,0.0
Queso duro,Guamal,Riohacha,4,0.0
Queso duro,Guamal,Riohacha,5,0.0
Queso duro,Guamal,Riohacha,6,0.0
Queso duro,Guamal,Riohacha,7,0.0
Queso duro,Guamal,Riohacha,8,0.0
Queso duro,Guamal,Riohacha,9,0.0
Queso duro,Guamal,Riohacha,10,0.0
Queso duro,Guamal,Riohacha,11,0.0
Queso duro,Guamal,Riohacha,12,0.0
Queso duro,Guamal,Monteria,1,0.0
Queso duro,Guamal,Monteria,2,0.0
Queso duro,Guamal,Monteria,3,0.0
Queso duro,Guamal,Monteria,4,0.0
Queso duro,Guamal,Monteria,5,0.0
Queso duro,Guamal,Monteria,6,0.0
Queso duro,Guamal,Monteria,7,0.0
Queso duro,Guamal,Monteria,8,0.0
Queso duro,Guamal,Monteria,9,0.0
Queso duro,Guamal,Monteria,10,0.0
Queso duro,Guamal,Monteria,11,0.0
Queso duro,Guamal,Monteria,12,0.0
Queso duro,Guamal,Barranquilla,1,0.0
Queso duro,Guamal,Barranquilla,2,0.0
Queso duro,Guamal,Barranquilla,3,0.0
Queso duro,Guamal,Barranquilla,4,0.0
Queso duro,Guamal,Barranquilla,5,0.0
Queso duro,Guamal,Barranquilla,6,0.0
Queso duro,Guamal,Barranquilla,7,0.0
Queso duro,Guamal,Barranquilla,8,0.0
Queso duro,Guamal,Barranquilla,9,0.0
Queso duro,Guamal,Barranquilla,10,0.0
Queso duro,Guamal,Barranquilla,11,0.0
Queso duro,Guamal,Barranquilla,12,0.0
Queso duro,Guamal,Bogotá,1,0.0
Queso duro,Guamal,Bogotá,2,0.0
Queso duro,Guamal,Bogotá,3,0.0
Queso duro,Guamal,Bogotá,4,0.0
Queso duro,Guamal,Bogotá,5,0.0
Queso duro,Guamal,Bogotá,6,0.0
Queso duro,Guamal,Bogotá,7,0.0
Queso duro,Guamal,Bogotá,8,0.0
Queso duro,Guamal,Bogotá,9,0.0
Queso duro,Guamal,Bogotá,10,0.0
Queso duro,Guamal,Bogotá,11,0.0
Queso duro,Guamal,Bogotá,12,0.0
Queso duro,Guamal,Bucaramanga,1,0.0
Queso duro,Guamal,Bucaramanga,2,0.0
Queso duro,Guamal,Bucaramanga,3,0.0
Queso duro,Guamal,Bucaramanga,4,0.0
Queso duro,Guamal,Bucaramanga,5,0.0
Queso duro,Guamal,Bucaramanga,6,0.0
Queso duro,Guamal,Bucaramanga,7,0.0
Queso duro,Guamal,Bucaramanga,8,0.0
Queso duro,Guamal,Bucaramanga,9,0.0
Queso duro,Guamal,Bucaramanga,10,0.0
Queso duro,Guamal,Bucaramanga,11,0.0
Queso duro,Guamal,Bucaramanga,12,0.0
Queso duro,Guamal,Cartagena,1,0.0
Queso duro,Guamal,Cartagena,2,0.0
Queso duro,Guamal,Cartagena,3,0.0
Queso duro,Guamal,Cartagena,4,0.0
Queso duro,Guamal,Cartagena,5,0.0
Queso duro,Guamal,Cartagena,6,0.0
Queso duro,Guamal,Cartagena,7,0.0
Queso duro,Guamal,Cartagena,8,0.0
Queso duro,Guamal,Cartagena,9,0.0
Queso duro,Guamal,Cartagena,10,0.0
Queso duro,Guamal,Cartagena,11,0.0
Queso duro,Guamal,Cartagena,12,0.0
Queso duro,Guamal,Cali,1,0.0
Queso duro,Guamal,Cali,2,0.0
Queso duro,Guamal,Cali,3,0.0
Queso duro,Guamal,Cali,4,0.0
Queso duro,Guamal,Cali,5,0.0
Queso duro,Guamal,Cali,6,0.0
Queso duro,Guamal,Cali,7,0.0
Queso duro,Guamal,Cali,8,0.0
Queso duro,Guamal,Cali,9,0.0
Queso duro,Guamal,Cali,10,0.0
Queso duro,Guamal,Cali,11,0.0
Queso duro,Guamal,Cali,12,0.0
Queso duro,Guamal,Cúcuta,1,0.0
Queso duro,Guamal,Cúcuta,2,0.0
Queso duro,Guamal,Cúcuta,3,0.0
Queso duro,Guamal,Cúcuta,4,0.0
Queso duro,Guamal,Cúcuta,5,0.0
Queso duro,Guamal,Cúcuta,6,0.0
Queso duro,Guamal,Cúcuta,7,0.0
Queso duro,Guamal,Cúcuta,8,0.0
Queso duro,Guamal,Cúcuta,9,0.0
Queso duro,Guamal,Cúcuta,10,0.0
Queso duro,Guamal,Cúcuta,11,0.0
Queso duro,Guamal,Cúcuta,12,0.0
Queso duro,Guamal,Medellín,1,0.0
Queso duro,Guamal,Medellín,2,0.0
Queso duro,Guamal,Medellín,3,0.0
Queso duro,Guamal,Medellín,4,0.0
Queso duro,Guamal,Medellín,5,0.0
Queso duro,Guamal,Medellín,6,0.0
Queso duro,Guamal,Medellín,7,0.0
Queso duro,Guamal,Medellín,8,0.0
Queso duro,Guamal,Medellín,9,0.0
Queso duro,Guamal,Medellín,10,0.0
Queso duro,Guamal,Medellín,11,0.0
Queso duro,Guamal,Medellín,12,0.0
Queso duro,Guamal,Valledupar,1,0.0
Queso duro,Guamal,Valledupar,2,42900.0
Queso duro,Guamal,Valledupar,3,42600.0
Queso duro,Guamal,Valledupar,4,42600.0
Queso duro,Guamal,Valledupar,5,42600.0
Queso duro,Guamal,Valledupar,6,42600.0
Queso duro,Guamal,Valledupar,7,42600.0
Queso duro,Guamal,Valledupar,8,42600.0
Queso duro,Guamal,Valledupar,9,42600.0
Queso duro,Guamal,Valledupar,10,42600.0
Queso duro,Guamal,Valledupar,11,42600.0
Queso duro,Guamal,Valledupar,12,42600.0
Queso duro,Pivijay,Santa Marta,1,0.0
Queso duro,Pivijay,Santa Marta,2,0.0
Queso duro,Pivijay,Santa Marta,3,0.0
Queso duro,Pivijay,Santa Marta,4,0.0
Queso duro,Pivijay,Santa Marta,5,0.0
Queso duro,Pivijay,Santa Marta,6,0.0
Queso duro,Pivijay,Santa Marta,7,0.0
Queso duro,Pivijay,Santa Marta,8,0.0
Queso duro,Pivijay,Santa Marta,9,0.0
Queso duro,Pivijay,Santa Marta,10,0.0
Queso duro,Pivijay,Santa Marta,11,0.0
Queso duro,Pivijay,Santa Marta,12,0.0
Queso duro,Pivijay,Riohacha,1,0.0
Queso duro,Pivijay,Riohacha,2,0.0
Queso duro,Pivijay,Riohacha,3,0.0
Queso duro,Pivijay,Riohacha,4,0.0
Queso duro,Pivijay,Riohacha,5,0.0
Queso duro,Pivijay,Riohacha,6,0.0
Queso duro,Pivijay,Riohacha,7,0.0
Queso duro,Pivijay,Riohacha,8,0.0
Queso duro,Pivijay,Riohacha,9,0.0
Queso duro,Pivijay,Riohacha,10,0.0
Queso duro,Pivijay,Riohacha,11,0.0
Queso duro,Pivijay,Riohacha,12,0.0
Queso duro,Pivijay,Monteria,1,0.0
Queso duro,Pivijay,Monteria,2,0.0
Queso duro,Pivijay,Monteria,3,0.0
Queso duro,Pivijay,Monteria,4,0.0
Queso duro,Pivijay,Monteria,5,0.0
Queso duro,Pivijay,Monteria,6,0.0
Queso duro,Pivijay,Monteria,7,0.0
Queso duro,Pivijay,Monteria,8,0.0
Queso duro,Pivijay,Monteria,9,0.0
Queso duro,Pivijay,Monteria,10,0.0
Queso duro,Pivijay,Monteria,11,0.0
Queso duro,Pivijay,Monteria,12,0.0
Queso duro,Pivijay,Barranquilla,1,0.0
Queso duro,Pivijay,Barranquilla,2,0.0
Queso duro,Pivijay,Barranquilla,3,0.0
Queso duro,Pivijay,Barranquilla,4,0.0
Queso duro,Pivijay,Barranquilla,5,0.0
Queso duro,Pivijay,Barranquilla,6,0.0
Queso duro,Pivijay,Barranquilla,7,0.0
Queso duro,Pivijay,Barranquilla,8,0.0
Queso duro,Pivijay,Barranquilla,9,0.0
