CAcopios,Tiempo,CA
Guamal,1,0.0
Guamal,2,1.0
Guamal,3,1.0
Guamal,4,1.0
Guamal,5,1.0
Guamal,6,1.0
Guamal,7,1.0
Guamal,8,1.0
Guamal,9,1.0
Guamal,10,1.0
Guamal,11,1.0
Guamal,12,1.0
Pivijay,1,0.0
Pivijay,2,0.0
Pivijay,3,0.0
Pivijay,4,0.0
Pivijay,5,0.0
Pivijay,6,0.0
Pivijay,7,0.0
Pivijay,8,0.0
Pivijay,9,0.0
Pivijay,10,0.0
Pivijay,11,0.0
Pivijay,12,0.0
Nueva granada,1,0.0
Nueva granada,2,0.0
Nueva granada,3,1.0
Nueva granada,4,1.0
Nueva granada,5,1.0
Nueva granada,6,1.0
Nueva granada,7,1.0
Nueva granada,8,1.0
Nueva granada,9,1.0
Nueva granada,10,1.0
Nueva granada,11,1.0
Nueva granada,12,1.0
