Distribution,Parameters,KS_pvalue
norm,"(4.443628899256388, 0.9221362013162901)",0.28459482304839856
expon,"(3.376451253890991, 1.0671776453653967)",0.9706079560512963
lognorm,"(0.7868739291676333, 3.200901140207265, 0.936022067428526)",0.8957863413065245
weibull_min,"(1.0671914706093482, 3.373625262240306, 1.0951465592354166)",0.9741232161080985
gamma,"(0.940310746892032, 3.3764512538909908, 1.1129971127470695)",0.8846859991889846
erlang,"(0.7291840571138526, 3.3764512538909908, 1.1369844516026282)",0.11083398684424606
triang,"(0.0002986106579071354, 3.375176304268837, 4.26957172678841)",0.08913132310687033
logistic,"(4.327231615599277, 0.5039651851160276)",0.6073411331524756
halfnorm,"(3.3764512506495645, 1.4103860832794255)",0.6406850174443461
cauchy,"(4.05585953800424, 0.4394121152883641)",0.23822404540744058
