Productos;Tiempo;PDinsatisfecha
Queso duro;Enero;0
Queso duro;Febrero;0
Queso duro;Marzo;0
Queso duro;Abril;0
Queso duro;Mayo;0
Queso duro;Junio;0
Queso duro;Julio;0
Queso duro;Agosto;0
Queso duro;Septiembre;0
Queso duro;Octubre;0
Queso duro;Noviembre;0
Queso duro;Diciembre;0
Queso blando;Enero;0
Queso blando;Febrero;0
Queso blando;Marzo;0
Queso blando;Abril;0
Queso blando;Mayo;0
Queso blando;Junio;0
Queso blando;Julio;0
Queso blando;Agosto;0
Queso blando;Septiembre;0
Queso blando;Octubre;0
Queso blando;Noviembre;0
Queso blando;Diciembre;0
