Productos;CAcopios;Tiempo;CostoInvAcopio
Queso duro;COSTAÑERA;1;450
Queso duro;COSTAÑERA;2;450
Queso duro;COSTAÑERA;3;450
Queso duro;COSTAÑERA;4;450
Queso duro;COSTAÑERA;5;450
Queso duro;COSTAÑERA;6;450
Queso duro;COSTAÑERA;7;450
Queso duro;COSTAÑERA;8;450
Queso duro;COSTAÑERA;9;450
Queso duro;COSTAÑERA;10;450
Queso duro;COSTAÑERA;11;450
Queso duro;COSTAÑERA;12;450
Queso duro;SABANAS;1;500
Queso duro;SABANAS;2;500
Queso duro;SABANAS;3;500
Queso duro;SABANAS;4;500
Queso duro;SABANAS;5;500
Queso duro;SABANAS;6;500
Queso duro;SABANAS;7;500
Queso duro;SABANAS;8;500
Queso duro;SABANAS;9;500
Queso duro;SABANAS;10;500
Queso duro;SABANAS;11;500
Queso duro;SABANAS;12;500
Queso duro;SAN JORGE;1;550
Queso duro;SAN JORGE;2;550
Queso duro;SAN JORGE;3;550
Queso duro;SAN JORGE;4;550
Queso duro;SAN JORGE;5;550
Queso duro;SAN JORGE;6;550
Queso duro;SAN JORGE;7;550
Queso duro;SAN JORGE;8;550
Queso duro;SAN JORGE;9;550
Queso duro;SAN JORGE;10;550
Queso duro;SAN JORGE;11;550
Queso duro;SAN JORGE;12;550
Queso blando;COSTAÑERA;1;450
Queso blando;COSTAÑERA;2;450
Queso blando;COSTAÑERA;3;450
Queso blando;COSTAÑERA;4;450
Queso blando;COSTAÑERA;5;450
Queso blando;COSTAÑERA;6;450
Queso blando;COSTAÑERA;7;450
Queso blando;COSTAÑERA;8;450
Queso blando;COSTAÑERA;9;450
Queso blando;COSTAÑERA;10;450
Queso blando;COSTAÑERA;11;450
Queso blando;COSTAÑERA;12;450
Queso blando;SABANAS;1;500
Queso blando;SABANAS;2;500
Queso blando;SABANAS;3;500
Queso blando;SABANAS;4;500
Queso blando;SABANAS;5;500
Queso blando;SABANAS;6;500
Queso blando;SABANAS;7;500
Queso blando;SABANAS;8;500
Queso blando;SABANAS;9;500
Queso blando;SABANAS;10;500
Queso blando;SABANAS;11;500
Queso blando;SABANAS;12;500
Queso blando;SAN JORGE;1;550
Queso blando;SAN JORGE;2;550
Queso blando;SAN JORGE;3;550
Queso blando;SAN JORGE;4;550
Queso blando;SAN JORGE;5;550
Queso blando;SAN JORGE;6;550
Queso blando;SAN JORGE;7;550
Queso blando;SAN JORGE;8;550
Queso blando;SAN JORGE;9;550
Queso blando;SAN JORGE;10;550
Queso blando;SAN JORGE;11;550
Queso blando;SAN JORGE;12;550
