Productos;CAcopios;Tiempo;CostoVarAcopio
Queso duro;COSTAÑERA;1;770
Queso duro;COSTAÑERA;2;770
Queso duro;COSTAÑERA;3;770
Queso duro;COSTAÑERA;4;770
Queso duro;COSTAÑERA;5;770
Queso duro;COSTAÑERA;6;770
Queso duro;COSTAÑERA;7;770
Queso duro;COSTAÑERA;8;770
Queso duro;COSTAÑERA;9;770
Queso duro;COSTAÑERA;10;770
Queso duro;COSTAÑERA;11;770
Queso duro;COSTAÑERA;12;770
Queso duro;SABANAS;1;810
Queso duro;SABANAS;2;810
Queso duro;SABANAS;3;810
Queso duro;SABANAS;4;810
Queso duro;SABANAS;5;810
Queso duro;SABANAS;6;810
Queso duro;SABANAS;7;810
Queso duro;SABANAS;8;810
Queso duro;SABANAS;9;810
Queso duro;SABANAS;10;810
Queso duro;SABANAS;11;810
Queso duro;SABANAS;12;810
Queso duro;SAN JORGE;1;785
Queso duro;SAN JORGE;2;785
Queso duro;SAN JORGE;3;785
Queso duro;SAN JORGE;4;785
Queso duro;SAN JORGE;5;785
Queso duro;SAN JORGE;6;785
Queso duro;SAN JORGE;7;785
Queso duro;SAN JORGE;8;785
Queso duro;SAN JORGE;9;785
Queso duro;SAN JORGE;10;785
Queso duro;SAN JORGE;11;785
Queso duro;SAN JORGE;12;785
Queso blando;COSTAÑERA;1;770
Queso blando;COSTAÑERA;2;770
Queso blando;COSTAÑERA;3;770
Queso blando;COSTAÑERA;4;770
Queso blando;COSTAÑERA;5;770
Queso blando;COSTAÑERA;6;770
Queso blando;COSTAÑERA;7;770
Queso blando;COSTAÑERA;8;770
Queso blando;COSTAÑERA;9;770
Queso blando;COSTAÑERA;10;770
Queso blando;COSTAÑERA;11;770
Queso blando;COSTAÑERA;12;770
Queso blando;SABANAS;1;810
Queso blando;SABANAS;2;810
Queso blando;SABANAS;3;810
Queso blando;SABANAS;4;810
Queso blando;SABANAS;5;810
Queso blando;SABANAS;6;810
Queso blando;SABANAS;7;810
Queso blando;SABANAS;8;810
Queso blando;SABANAS;9;810
Queso blando;SABANAS;10;810
Queso blando;SABANAS;11;810
Queso blando;SABANAS;12;810
Queso blando;SAN JORGE;1;785
Queso blando;SAN JORGE;2;785
Queso blando;SAN JORGE;3;785
Queso blando;SAN JORGE;4;785
Queso blando;SAN JORGE;5;785
Queso blando;SAN JORGE;6;785
Queso blando;SAN JORGE;7;785
Queso blando;SAN JORGE;8;785
Queso blando;SAN JORGE;9;785
Queso blando;SAN JORGE;10;785
Queso blando;SAN JORGE;11;785
Queso blando;SAN JORGE;12;785
