Distribution,Parameters,KS_pvalue
norm,"(0.7019998550415039, 0.14678955173715486)",0.03767239427403901
expon,"(0.5808029174804688, 0.12119693756103511)",0.15489620758922273
lognorm,"(10.317090905893524, 0.5808029174804686, 0.0027798003610018337)",0.010144111410494205
weibull_min,"(0.30468365586000346, 0.5808029174804686, 0.020434283357146643)",0.0014685092002861963
gamma,"(0.5559206281899143, 0.5808029174804686, 0.15812701015982766)",0.26285346652978325
erlang,"(0.7140333678609552, 0.5808029174804686, 0.1358922073343025)",0.582127321570213
triang,"(1.195547512073017e-06, 0.5808013662664866, 0.54550548876626)",0.002584332878703057
logistic,"(0.6677058105066372, 0.07103556062214765)",0.14849402002984424
halfnorm,"(0.5808029044616667, 0.19026237645725166)",0.008725625223079403
cauchy,"(0.6415796461211702, 0.02028293521575942)",0.8681955682298624
