Productos;CAcopios;Tiempo;CostoInvAcopio
Queso duro;GUAMAL;1;450
Queso duro;GUAMAL;2;450
Queso duro;GUAMAL;3;450
Queso duro;GUAMAL;4;450
Queso duro;GUAMAL;5;450
Queso duro;GUAMAL;6;450
Queso duro;GUAMAL;7;450
Queso duro;GUAMAL;8;450
Queso duro;GUAMAL;9;450
Queso duro;GUAMAL;10;450
Queso duro;GUAMAL;11;450
Queso duro;GUAMAL;12;450
Queso duro;PIVIJAY;1;500
Queso duro;PIVIJAY;2;500
Queso duro;PIVIJAY;3;500
Queso duro;PIVIJAY;4;500
Queso duro;PIVIJAY;5;500
Queso duro;PIVIJAY;6;500
Queso duro;PIVIJAY;7;500
Queso duro;PIVIJAY;8;500
Queso duro;PIVIJAY;9;500
Queso duro;PIVIJAY;10;500
Queso duro;PIVIJAY;11;500
Queso duro;PIVIJAY;12;500
Queso duro;NUEVA GRANADA;1;550
Queso duro;NUEVA GRANADA;2;550
Queso duro;NUEVA GRANADA;3;550
Queso duro;NUEVA GRANADA;4;550
Queso duro;NUEVA GRANADA;5;550
Queso duro;NUEVA GRANADA;6;550
Queso duro;NUEVA GRANADA;7;550
Queso duro;NUEVA GRANADA;8;550
Queso duro;NUEVA GRANADA;9;550
Queso duro;NUEVA GRANADA;10;550
Queso duro;NUEVA GRANADA;11;550
Queso duro;NUEVA GRANADA;12;550
Queso blando;GUAMAL;1;450
Queso blando;GUAMAL;2;450
Queso blando;GUAMAL;3;450
Queso blando;GUAMAL;4;450
Queso blando;GUAMAL;5;450
Queso blando;GUAMAL;6;450
Queso blando;GUAMAL;7;450
Queso blando;GUAMAL;8;450
Queso blando;GUAMAL;9;450
Queso blando;GUAMAL;10;450
Queso blando;GUAMAL;11;450
Queso blando;GUAMAL;12;450
Queso blando;PIVIJAY;1;500
Queso blando;PIVIJAY;2;500
Queso blando;PIVIJAY;3;500
Queso blando;PIVIJAY;4;500
Queso blando;PIVIJAY;5;500
Queso blando;PIVIJAY;6;500
Queso blando;PIVIJAY;7;500
Queso blando;PIVIJAY;8;500
Queso blando;PIVIJAY;9;500
Queso blando;PIVIJAY;10;500
Queso blando;PIVIJAY;11;500
Queso blando;PIVIJAY;12;500
Queso blando;NUEVA GRANADA;1;550
Queso blando;NUEVA GRANADA;2;550
Queso blando;NUEVA GRANADA;3;550
Queso blando;NUEVA GRANADA;4;550
Queso blando;NUEVA GRANADA;5;550
Queso blando;NUEVA GRANADA;6;550
Queso blando;NUEVA GRANADA;7;550
Queso blando;NUEVA GRANADA;8;550
Queso blando;NUEVA GRANADA;9;550
Queso blando;NUEVA GRANADA;10;550
Queso blando;NUEVA GRANADA;11;550
Queso blando;NUEVA GRANADA;12;550
