Productos;CAcopios;Tiempo;CostoVarAcopio
Queso duro;GUAMAL;1;770
Queso duro;GUAMAL;2;770
Queso duro;GUAMAL;3;770
Queso duro;GUAMAL;4;770
Queso duro;GUAMAL;5;770
Queso duro;GUAMAL;6;770
Queso duro;GUAMAL;7;770
Queso duro;GUAMAL;8;770
Queso duro;GUAMAL;9;770
Queso duro;GUAMAL;10;770
Queso duro;GUAMAL;11;770
Queso duro;GUAMAL;12;770
Queso duro;PIVIJAY;1;810
Queso duro;PIVIJAY;2;810
Queso duro;PIVIJAY;3;810
Queso duro;PIVIJAY;4;810
Queso duro;PIVIJAY;5;810
Queso duro;PIVIJAY;6;810
Queso duro;PIVIJAY;7;810
Queso duro;PIVIJAY;8;810
Queso duro;PIVIJAY;9;810
Queso duro;PIVIJAY;10;810
Queso duro;PIVIJAY;11;810
Queso duro;PIVIJAY;12;810
Queso duro;NUEVA GRANADA;1;785
Queso duro;NUEVA GRANADA;2;785
Queso duro;NUEVA GRANADA;3;785
Queso duro;NUEVA GRANADA;4;785
Queso duro;NUEVA GRANADA;5;785
Queso duro;NUEVA GRANADA;6;785
Queso duro;NUEVA GRANADA;7;785
Queso duro;NUEVA GRANADA;8;785
Queso duro;NUEVA GRANADA;9;785
Queso duro;NUEVA GRANADA;10;785
Queso duro;NUEVA GRANADA;11;785
Queso duro;NUEVA GRANADA;12;785
Queso blando;GUAMAL;1;770
Queso blando;GUAMAL;2;770
Queso blando;GUAMAL;3;770
Queso blando;GUAMAL;4;770
Queso blando;GUAMAL;5;770
Queso blando;GUAMAL;6;770
Queso blando;GUAMAL;7;770
Queso blando;GUAMAL;8;770
Queso blando;GUAMAL;9;770
Queso blando;GUAMAL;10;770
Queso blando;GUAMAL;11;770
Queso blando;GUAMAL;12;770
Queso blando;PIVIJAY;1;810
Queso blando;PIVIJAY;2;810
Queso blando;PIVIJAY;3;810
Queso blando;PIVIJAY;4;810
Queso blando;PIVIJAY;5;810
Queso blando;PIVIJAY;6;810
Queso blando;PIVIJAY;7;810
Queso blando;PIVIJAY;8;810
Queso blando;PIVIJAY;9;810
Queso blando;PIVIJAY;10;810
Queso blando;PIVIJAY;11;810
Queso blando;PIVIJAY;12;810
Queso blando;NUEVA GRANADA;1;785
Queso blando;NUEVA GRANADA;2;785
Queso blando;NUEVA GRANADA;3;785
Queso blando;NUEVA GRANADA;4;785
Queso blando;NUEVA GRANADA;5;785
Queso blando;NUEVA GRANADA;6;785
Queso blando;NUEVA GRANADA;7;785
Queso blando;NUEVA GRANADA;8;785
Queso blando;NUEVA GRANADA;9;785
Queso blando;NUEVA GRANADA;10;785
Queso blando;NUEVA GRANADA;11;785
Queso blando;NUEVA GRANADA;12;785
