Productos,CAcopios,Clientes,Tiempo,AC
Queso duro,GUAMAL,Cliente 1,1,0.0
Queso duro,GUAMAL,Cliente 1,2,0.0
Queso duro,GUAMAL,Cliente 1,3,0.0
Queso duro,GUAMAL,Cliente 1,4,0.0
Queso duro,GUAMAL,Cliente 1,5,0.0
Queso duro,GUAMAL,Cliente 1,6,0.0
Queso duro,GUAMAL,Cliente 1,7,0.0
Queso duro,GUAMAL,Cliente 1,8,0.0
Queso duro,GUAMAL,Cliente 1,9,0.0
Queso duro,GUAMAL,Cliente 1,10,0.0
Queso duro,GUAMAL,Cliente 1,11,0.0
Queso duro,GUAMAL,Cliente 1,12,0.0
Queso duro,PIVIJAY,Cliente 1,1,0.0
Queso duro,PIVIJAY,Cliente 1,2,0.0
Queso duro,PIVIJAY,Cliente 1,3,0.0
Queso duro,PIVIJAY,Cliente 1,4,0.0
Queso duro,PIVIJAY,Cliente 1,5,0.0
Queso duro,PIVIJAY,Cliente 1,6,0.0
Queso duro,PIVIJAY,Cliente 1,7,0.0
Queso duro,PIVIJAY,Cliente 1,8,0.0
Queso duro,PIVIJAY,Cliente 1,9,0.0
Queso duro,PIVIJAY,Cliente 1,10,0.0
Queso duro,PIVIJAY,Cliente 1,11,0.0
Queso duro,PIVIJAY,Cliente 1,12,0.0
Queso duro,NUEVA GRANADA,Cliente 1,1,0.0
Queso duro,NUEVA GRANADA,Cliente 1,2,0.0
Queso duro,NUEVA GRANADA,Cliente 1,3,0.0
Queso duro,NUEVA GRANADA,Cliente 1,4,0.0
Queso duro,NUEVA GRANADA,Cliente 1,5,0.0
Queso duro,NUEVA GRANADA,Cliente 1,6,0.0
Queso duro,NUEVA GRANADA,Cliente 1,7,0.0
Queso duro,NUEVA GRANADA,Cliente 1,8,0.0
Queso duro,NUEVA GRANADA,Cliente 1,9,0.0
Queso duro,NUEVA GRANADA,Cliente 1,10,0.0
Queso duro,NUEVA GRANADA,Cliente 1,11,0.0
Queso duro,NUEVA GRANADA,Cliente 1,12,0.0
Queso blando,GUAMAL,Cliente 1,1,0.0
Queso blando,GUAMAL,Cliente 1,2,0.0
Queso blando,GUAMAL,Cliente 1,3,0.0
Queso blando,GUAMAL,Cliente 1,4,0.0
Queso blando,GUAMAL,Cliente 1,5,0.0
Queso blando,GUAMAL,Cliente 1,6,0.0
Queso blando,GUAMAL,Cliente 1,7,0.0
Queso blando,GUAMAL,Cliente 1,8,0.0
Queso blando,GUAMAL,Cliente 1,9,0.0
Queso blando,GUAMAL,Cliente 1,10,0.0
Queso blando,GUAMAL,Cliente 1,11,0.0
Queso blando,GUAMAL,Cliente 1,12,0.0
Queso blando,PIVIJAY,Cliente 1,1,0.0
Queso blando,PIVIJAY,Cliente 1,2,0.0
Queso blando,PIVIJAY,Cliente 1,3,0.0
Queso blando,PIVIJAY,Cliente 1,4,0.0
Queso blando,PIVIJAY,Cliente 1,5,0.0
Queso blando,PIVIJAY,Cliente 1,6,0.0
Queso blando,PIVIJAY,Cliente 1,7,0.0
Queso blando,PIVIJAY,Cliente 1,8,0.0
Queso blando,PIVIJAY,Cliente 1,9,0.0
Queso blando,PIVIJAY,Cliente 1,10,0.0
Queso blando,PIVIJAY,Cliente 1,11,0.0
Queso blando,PIVIJAY,Cliente 1,12,0.0
Queso blando,NUEVA GRANADA,Cliente 1,1,0.0
Queso blando,NUEVA GRANADA,Cliente 1,2,0.0
Queso blando,NUEVA GRANADA,Cliente 1,3,0.0
Queso blando,NUEVA GRANADA,Cliente 1,4,0.0
Queso blando,NUEVA GRANADA,Cliente 1,5,0.0
Queso blando,NUEVA GRANADA,Cliente 1,6,0.0
Queso blando,NUEVA GRANADA,Cliente 1,7,0.0
Queso blando,NUEVA GRANADA,Cliente 1,8,0.0
Queso blando,NUEVA GRANADA,Cliente 1,9,0.0
Queso blando,NUEVA GRANADA,Cliente 1,10,0.0
Queso blando,NUEVA GRANADA,Cliente 1,11,0.0
Queso blando,NUEVA GRANADA,Cliente 1,12,0.0
