Distribution,Parameters,KS_pvalue
norm,"(0.47167885303497314, 0.11334530080714869)",0.7032398911471391
expon,"(0.2454373836517334, 0.22624146938323975)",0.03576138570872267
lognorm,"(11.011539823452134, 0.24543738365173337, 0.006101514779944888)",0.005010772020205873
weibull_min,"(2.979802232557474, 0.15194358359356547, 0.3567055930438465)",0.578471326842444
gamma,"(109.42024220955516, -0.7108944020951147, 0.01080762787421953)",0.6625146684763898
erlang,"(109.4204781525041, -0.7108956236328692, 0.01080761582406686)",0.6625149277153841
triang,"(0.999999963176013, 0.12037713144198467, 0.6070794892441302)",0.023599327312799012
logistic,"(0.4679324684071794, 0.05656167324278386)",0.8401361608049149
halfnorm,"(0.24543729227422725, 0.2530564075377735)",0.062128340235471424
cauchy,"(0.4616410256055319, 0.037663904299344866)",0.9965927694836317
