Producto_1.Productor_1;Producto_1.Productor_2;Producto_1.Productor_3;Producto_1.Productor_4;Producto_1.Productor_5;Producto_1.Productor_6;Producto_1.Productor_7;Producto_1.Productor_8;Producto_1.Productor_9;Producto_1.Productor_10;Producto_1.Productor_11;Producto_1.Productor_12;Producto_1.Productor_13;Producto_1.Productor_14;Producto_1.Productor_15;Producto_1.Productor_16;Producto_1.Productor_17;Producto_1.Productor_18;Producto_1.Productor_19;Producto_1.Productor_20;Producto_1.Productor_21;Producto_1.Productor_22;Producto_1.Productor_23;Producto_1.Productor_24;Producto_1.Productor_25;Producto_1.Productor_26;Producto_1.Productor_27;Producto_1.Productor_28;Producto_1.Productor_29;Producto_1.Productor_30;Producto_1.Productor_31;Producto_1.Productor_32;Producto_1.Productor_33;Producto_1.Productor_34;Producto_1.Productor_35;Producto_1.Productor_36;Producto_1.Productor_37;Producto_1.Productor_38;Producto_1.Productor_39;Producto_1.Productor_40;Producto_1.Productor_41;Producto_1.Productor_42;Producto_1.Productor_43;Producto_1.Productor_44;Producto_1.Productor_45;Producto_1.Productor_46;Producto_1.Productor_47;Producto_1.Productor_48;Producto_1.Productor_49;Producto_1.Productor_50;Producto_2.Productor_1;Producto_2.Productor_2;Producto_2.Productor_3;Producto_2.Productor_4;Producto_2.Productor_5;Producto_2.Productor_6;Producto_2.Productor_7;Producto_2.Productor_8;Producto_2.Productor_9;Producto_2.Productor_10;Producto_2.Productor_11;Producto_2.Productor_12;Producto_2.Productor_13;Producto_2.Productor_14;Producto_2.Productor_15;Producto_2.Productor_16;Producto_2.Productor_17;Producto_2.Productor_18;Producto_2.Productor_19;Producto_2.Productor_20;Producto_2.Productor_21;Producto_2.Productor_22;Producto_2.Productor_23;Producto_2.Productor_24;Producto_2.Productor_25;Producto_2.Productor_26;Producto_2.Productor_27;Producto_2.Productor_28;Producto_2.Productor_29;Producto_2.Productor_30;Producto_2.Productor_31;Producto_2.Productor_32;Producto_2.Productor_33;Producto_2.Productor_34;Producto_2.Productor_35;Producto_2.Productor_36;Producto_2.Productor_37;Producto_2.Productor_38;Producto_2.Productor_39;Producto_2.Productor_40;Producto_2.Productor_41;Producto_2.Productor_42;Producto_2.Productor_43;Producto_2.Productor_44;Producto_2.Productor_45;Producto_2.Productor_46;Producto_2.Productor_47;Producto_2.Productor_48;Producto_2.Productor_49;Producto_2.Productor_50
18248;18248;18248;18248;18248;18248;18248;18248;18248;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18147;18147;18147;18248;18248;18248;18248;18248;18248;18248;18248;18248;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18147;18147;18147;18147;18147;18248;18248;18248;18248;18248;18248;18248;18248;18248;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18147;18147;18147;18248;18248;18248;18248;18248;18248;18248;18248;18248;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18344;18147;18147;18147;18147;18147
18278;18278;18278;18278;18278;18278;18278;18278;18278;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18180;18180;18180;18278;18278;18278;18278;18278;18278;18278;18278;18278;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18180;18180;18180;18180;18180;18278;18278;18278;18278;18278;18278;18278;18278;18278;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18180;18180;18180;18278;18278;18278;18278;18278;18278;18278;18278;18278;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18403;18180;18180;18180;18180;18180
18527;18527;18527;18527;18527;18527;18527;18527;18527;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18490;18490;18490;18527;18527;18527;18527;18527;18527;18527;18527;18527;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18490;18490;18490;18490;18490;18527;18527;18527;18527;18527;18527;18527;18527;18527;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18490;18490;18490;18527;18527;18527;18527;18527;18527;18527;18527;18527;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18632;18490;18490;18490;18490;18490
18701;18701;18701;18701;18701;18701;18701;18701;18701;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18638;18638;18638;18701;18701;18701;18701;18701;18701;18701;18701;18701;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18638;18638;18638;18638;18638;18701;18701;18701;18701;18701;18701;18701;18701;18701;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18638;18638;18638;18701;18701;18701;18701;18701;18701;18701;18701;18701;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18679;18638;18638;18638;18638;18638
18575;18575;18575;18575;18575;18575;18575;18575;18575;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18554;18554;18554;18575;18575;18575;18575;18575;18575;18575;18575;18575;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18554;18554;18554;18554;18554;18575;18575;18575;18575;18575;18575;18575;18575;18575;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18554;18554;18554;18575;18575;18575;18575;18575;18575;18575;18575;18575;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18767;18554;18554;18554;18554;18554
18575;18575;18575;18575;18575;18575;18575;18575;18575;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18542;18542;18542;18575;18575;18575;18575;18575;18575;18575;18575;18575;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18542;18542;18542;18542;18542;18575;18575;18575;18575;18575;18575;18575;18575;18575;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18542;18542;18542;18575;18575;18575;18575;18575;18575;18575;18575;18575;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18722;18542;18542;18542;18542;18542
18461;18461;18461;18461;18461;18461;18461;18461;18461;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18542;18542;18542;18461;18461;18461;18461;18461;18461;18461;18461;18461;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18542;18542;18542;18542;18542;18461;18461;18461;18461;18461;18461;18461;18461;18461;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18542;18542;18542;18461;18461;18461;18461;18461;18461;18461;18461;18461;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18747;18542;18542;18542;18542;18542
18659;18659;18659;18659;18659;18659;18659;18659;18659;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18597;18597;18597;18659;18659;18659;18659;18659;18659;18659;18659;18659;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18597;18597;18597;18597;18597;18659;18659;18659;18659;18659;18659;18659;18659;18659;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18597;18597;18597;18659;18659;18659;18659;18659;18659;18659;18659;18659;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18733;18597;18597;18597;18597;18597
18938;18938;18938;18938;18938;18938;18938;18938;18938;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18880;18880;18880;18938;18938;18938;18938;18938;18938;18938;18938;18938;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18880;18880;18880;18880;18880;18938;18938;18938;18938;18938;18938;18938;18938;18938;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18880;18880;18880;18938;18938;18938;18938;18938;18938;18938;18938;18938;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18929;18880;18880;18880;18880;18880
19209;19209;19209;19209;19209;19209;19209;19209;19209;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19161;19161;19161;19209;19209;19209;19209;19209;19209;19209;19209;19209;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19161;19161;19161;19161;19161;19209;19209;19209;19209;19209;19209;19209;19209;19209;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19161;19161;19161;19209;19209;19209;19209;19209;19209;19209;19209;19209;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19281;19161;19161;19161;19161;19161
